	experiment	sample_type	media	subculture_time	preculture_time	c18positive	c18negative	hilicpositive	culture_source	taxonomy	grouped_taxonomy	kingdom	phylum	class	order	family	genus	species	strain	morphology
25	20180629.0	supernatant	mm	24.0	25.0	s01659	s01477	s01289	c0198	Bacteroides thetaiotaomicron 7853	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	7853	
26	20180629.0	supernatant	mm	24.0	25.0	s01660	s01478	s01290	c0198	Bacteroides thetaiotaomicron 7853	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	7853	
27	20180618.0	supernatant	mm	12.0	24.0	s01014	s00847	s01175	c0121	Lactobacillus rhamnosus LMS2-1 BEI HM-106	Lactobacillus rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rhamnosus	LMS2-1	
28	20180618.0	supernatant	mm	12.0	24.0	s01015	s00848	s01176	c0121	Lactobacillus rhamnosus LMS2-1 BEI HM-106	Lactobacillus rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rhamnosus	LMS2-1	
29	20180618.0	supernatant	mm	12.0	24.0	s01016	s00849	s01177	c0121	Lactobacillus rhamnosus LMS2-1 BEI HM-106	Lactobacillus rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rhamnosus	LMS2-1	
30	20190228.0	supernatant	mm	17.25		s03790	s03630	s03485	c0053	Clostridium leptum DSMZ 753	Clostridium leptum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	leptum		
31	20190228.0	supernatant	mm	17.25		s03791	s03631	s03486	c0053	Clostridium leptum DSMZ 753	Clostridium leptum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	leptum		
32	20190228.0	supernatant	mm	17.25		s03792	s03632	s03487	c0053	Clostridium leptum DSMZ 753	Clostridium leptum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	leptum		
33	20180728.0	supernatant	mm	46.5	40.0	s02748	s02552	s02355	c0013	Anaerococcus lactolyticus CC31C BEI HM-1034	Anerociccus lactolyticus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anerociccus	lactolyticus	CC31C	
34	20180728.0	supernatant	mm			s02749	s02553	s02356	c0013	Anaerococcus lactolyticus CC31C BEI HM-1034	Anerociccus lactolyticus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anerociccus	lactolyticus	CC31C	
35	20180728.0	supernatant	mm			s02750	s02554	s02357	c0013	Anaerococcus lactolyticus CC31C BEI HM-1034	Anerociccus lactolyticus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anerociccus	lactolyticus	CC31C	
40	20190228.0	supernatant	mm	17.25		s03812	s03652	s03507	c0390	Desulfovibrio piger ATCC 29098 M1	Desulfovibrio piger	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	piger	M1	
41	20190228.0	supernatant	mm	17.25		s03813	s03653	s03508	c0390	Desulfovibrio piger ATCC 29098 M1	Desulfovibrio piger	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	piger	M1	
42	20190228.0	supernatant	mm	17.25		s03814	s03654	s03509	c0390	Desulfovibrio piger ATCC 29098 M1	Desulfovibrio piger	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	piger	M1	
43	20180728.0	supernatant	bhis	21.0	40.0	s02699	s02503	s02305	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
44	20180728.0	supernatant	bhis			s02700	s02504	s02306	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
45	20180728.0	supernatant	bhis			s02701	s02505	s02307	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
46	20180720.0	media_blank	mm	31.25	33.75	s02889	s02223	s02146												
47	20181030.0	supernatant	mm	16.0	30.0	s03078	s03179	s02977	c0238	Atopobium parvulum CC14Z BEI HM-1035	Atopobium parvulum	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	parvulum	CC14Z	
48	20180716.0	supernatant	mm	16.0	29.0	s01787	s01907	s02017	c0276	Enterobacter cancerogenus ATCC 35316	Enterobacter cancerogenus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	cancerogenus		
49	20180716.0	supernatant	mm	16.0	29.0	s01788	s01908	s02018	c0276	Enterobacter cancerogenus ATCC 35316	Enterobacter cancerogenus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	cancerogenus		
50	20180716.0	supernatant	mm	16.0	29.0	s01789	s01911	s02019	c0276	Enterobacter cancerogenus ATCC 35316	Enterobacter cancerogenus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	cancerogenus		
51	20181030.0	supernatant	mm	12.0	30.0	s03037	s03138	s02936	c0087	Dorea longicatena DSMZ 13814	Dorea longicatena	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena		
52	20180629.0	supernatant	mm	24.0	25.0	s01574	s01392	s01204	c0164	Bacteroides coprophilus DSMZ 18228	Bacteroides coprophilus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprophilus		
53	20180629.0	supernatant	mm	24.0	25.0	s01575	s01393	s01205	c0164	Bacteroides coprophilus DSMZ 18228	Bacteroides coprophilus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprophilus		
54	20180629.0	supernatant	mm	24.0	25.0	s01576	s01394	s01206	c0164	Bacteroides coprophilus DSMZ 18228	Bacteroides coprophilus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprophilus		
65	20180720.0	supernatant	mm	31.25	33.75	s02883	s02218	s02141	c0177	Bacteroides finegoldii DSMZ 17565	Bacteroides finegoldii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	finegoldii		
69	20180512.0	supernatant	mm	12.0	24.0	s00069	s00185	s00639	c0056	Tyzzerella nexilis DSM 1787	Tyzzerella nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Tyzzerella	nexilis		
70	20180512.0	supernatant	mm	12.0	24.0	s00070	s00186	s00640	c0056	Tyzzerella nexilis DSM 1787	Tyzzerella nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Tyzzerella	nexilis		
71	20180512.0	supernatant	mm	12.0	24.0	s00071	s00187	s00641	c0056	Tyzzerella nexilis DSM 1787	Tyzzerella nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Tyzzerella	nexilis		
72	20180512.0	supernatant	mm	12.0	24.0	s00072	s00188	s00642	c0056	Tyzzerella nexilis DSM 1787	Tyzzerella nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Tyzzerella	nexilis		
73	20180512.0	supernatant	mm	12.0	24.0	s00073	s00189	s00643	c0056	Tyzzerella nexilis DSM 1787	Tyzzerella nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Tyzzerella	nexilis		
74	20180512.0	supernatant	mm	12.0	24.0	s00025	s00145	s00233	c0020	Blautia producta DMSZ 2950	Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta		
75	20180512.0	supernatant	mm	12.0	24.0	s00026	s00146	s00234	c0020	Blautia producta DMSZ 2950	Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta		
76	20180512.0	supernatant	mm	12.0	24.0	s00027	s00147	s00235	c0020	Blautia producta DMSZ 2950	Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta		
77	20180512.0	supernatant	mm	12.0	24.0		s00148	s00236	c0020	Blautia producta DMSZ 2950	Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta		
78	20180512.0	supernatant	mm	12.0	24.0	s00029	s00149	s00237	c0020	Blautia producta DMSZ 2950	Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta		
79	20180728.0	media_blank	ycfag	46.5	40.0	s02754	s02558	s02361												
80	20180728.0	media_blank	ycfag			s02755	s02559	s02362												
81	20180728.0	media_blank	ycfag			s02756	s02560	s02363												
82	20180720.0	supernatant	mm	31.25	33.75	s02864	s02199	s02122	c0062	Clostridium scindens ATCC 35704	Clostridium scindens	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	scindens		
83	20180629.0	supernatant	mm	24.0	25.0	s01697		s01327	c0215	Bacteroides sp. 2_1_16 BEI HM-58	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		2_1_16	
84	20180629.0	supernatant	mm	24.0	25.0	s01698	s01531	s01328	c0215	Bacteroides sp. 2_1_16 BEI HM-58	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		2_1_16	
85	20180629.0	supernatant	mm	24.0	25.0	s01699	s01532	s01329	c0215	Bacteroides sp. 2_1_16 BEI HM-58	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		2_1_16	
86	20180720.0	media_blank	rcml	31.25	33.75	s02894	s02228	s02151												
87	20180716.0	supernatant	mm	16.0	29.0	s01823	s01945	s02053	c0135	Ruminococcus lactaris CC59_002D BEI HM-1057	Ruminococcus lactaris	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	lactaris	CC59_002D	
88	20180716.0	supernatant	mm	16.0	29.0	s01824	s01946	s02054	c0135	Ruminococcus lactaris CC59_002D BEI HM-1057	Ruminococcus lactaris	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	lactaris	CC59_002D	
89	20180716.0	supernatant	mm	16.0	29.0	s01825	s01947	s02055	c0135	Ruminococcus lactaris CC59_002D BEI HM-1057	Ruminococcus lactaris	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	lactaris	CC59_002D	
90	20180629.0	supernatant	mm	24.0	25.0	s01643	s01461	s01273	c0193	Bacteroides thetaiotaomicron 633	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	633	
91	20180629.0	supernatant	mm	24.0	25.0	s01644	s01462	s01274	c0193	Bacteroides thetaiotaomicron 633	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	633	
92	20180629.0	supernatant	mm	24.0	25.0	s01645	s01463	s01275	c0193	Bacteroides thetaiotaomicron 633	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	633	
94	20180728.0	supernatant	mm	21.0	40.0	s02647	s02451	s02253	c0243	Bifidobacterium breve UCC2003	Bifidobacterium breve	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	UCC2003	
95	20180728.0	supernatant	mm			s02648	s02452	s02254	c0243	Bifidobacterium breve UCC2003	Bifidobacterium breve	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	UCC2003	
96	20180728.0	supernatant	mm			s02649	s02453	s02255	c0243	Bifidobacterium breve UCC2003	Bifidobacterium breve	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	UCC2003	
97	20181030.0	supernatant	mm	12.0	30.0	s03024	s03125	s02923	c0202	Bacteroides thetaiotaomicron wh302	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	wh302	
99	20180716.0	supernatant	mm	27.0	29.0	s01845	s01962.4	s02075	c0242	Bifidobacterium bifidum DSMZ 20456	Bifidobacterium bifidum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum		
100	20180716.0	supernatant	mm	27.0	29.0	s01846	s01962.5	s02076	c0242	Bifidobacterium bifidum DSMZ 20456	Bifidobacterium bifidum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum		
105	20181030.0	supernatant	mm	12.0	30.0	s03028	s03129	s02927	c0043	Clostridium cadaveris CC88A BEI HM-1041	Clostridium cadaveris	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	cadaveris	CC88A	
114	20181030.0	supernatant	mm	12.0	30.0	s03052	s03153	s02951	c0175	Bacteroides finegoldii CL09T03C10 BEI HM-727	Bacteroides finegoldii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	finegoldii	CL09T03C10	
120	20180618.0	supernatant	mm	12.0	24.0	s00942	s00773	s01103	c0061	Clostridium saccharolyticum WM1 DSMZ 2544	Clostridium saccharolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	saccharolyticum	WM1	
121	20180618.0	supernatant	mm	12.0	24.0	s00943	s00774	s01104	c0061	Clostridium saccharolyticum WM1 DSMZ 2544	Clostridium saccharolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	saccharolyticum	WM1	
122	20180618.0	supernatant	mm	12.0	24.0	s00944	s00775	s01105	c0061	Clostridium saccharolyticum WM1 DSMZ 2544	Clostridium saccharolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	saccharolyticum	WM1	
123	20181030.0	supernatant	pyg	12.0	30.0	s03073	s03174	s02972	c0274	Edwardsiella tarda ATCC 23685	Edwardsiella tarda	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Hafniaceae	Edwardsiella	tarda		
125	20180512.0	supernatant	mm	12.0	24.0	s00455	s00331	s00578	c0045	Clostridium citroniae WAL-17108 BEI HM-315	Clostridium citroniae	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	citroniae	WAL-17108	
126	20180512.0	supernatant	mm	12.0	24.0	s00456	s00332	s00579	c0045	Clostridium citroniae WAL-17108 BEI HM-315	Clostridium citroniae	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	citroniae	WAL-17108	
127	20180512.0	supernatant	mm	12.0	24.0	s00457	s00333	s00580	c0045	Clostridium citroniae WAL-17108 BEI HM-315	Clostridium citroniae	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	citroniae	WAL-17108	
128	20180512.0	supernatant	mm	12.0	24.0	s00458	s00334	s00581	c0045	Clostridium citroniae WAL-17108 BEI HM-315	Clostridium citroniae	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	citroniae	WAL-17108	
133	20180618.0	supernatant	mm	12.0	24.0	s00978		s01139	c0095	Holdemanella biformis DSMZ 3989	Holdemanella biforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	Holdemanella	biforme		
134	20180618.0	supernatant	mm	12.0	24.0	s00979	s00812	s01140	c0095	Holdemanella biformis DSMZ 3989	Holdemanella biforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	Holdemanella	biforme		
135	20180618.0	supernatant	mm	12.0	24.0	s00980	s00813	s01141	c0095	Holdemanella biformis DSMZ 3989	Holdemanella biforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	Holdemanella	biforme		
136	20180629.0	supernatant	mm	24.0	25.0	s01667	s01485	s01297	c0201	Bacteroides thetaiotaomicron 8736	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	8736	
137	20180629.0	supernatant	mm	24.0	25.0	s01668	s01486	s01298	c0201	Bacteroides thetaiotaomicron 8736	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	8736	
138	20180629.0	supernatant	mm	24.0	25.0	s01669	s01487	s01299	c0201	Bacteroides thetaiotaomicron 8736	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	8736	
145	20180629.0	supernatant	mm	24.0	25.0	s01694	s01527	s01324	c0214	Bacteroides sp. 1_1_6 BEI HM-23	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		1_1_6	
146	20180629.0	supernatant	mm	24.0	25.0	s01695	s01528	s01325	c0214	Bacteroides sp. 1_1_6 BEI HM-23	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		1_1_6	
147	20180629.0	supernatant	mm	24.0	25.0	s01696		s01326	c0214	Bacteroides sp. 1_1_6 BEI HM-23	Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		1_1_6	
148	20180728.0	supernatant	rcmwoa	21.0	40.0	s02650	s02454	s02256	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
149	20180728.0	supernatant	rcmwoa			s02651	s02455	s02257	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
150	20180728.0	supernatant	rcmwoa			s02652	s02456	s02258	c0283	Clostridioides difficile ATCC BAA-1801	Clostridioides difficile	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	difficile	BAA-1801	
151	20181030.0	media_blank	mm	16.0	30.0	s03012	s03113	s02911												
158	20190228.0	supernatant	pyg	17.25		s03848	s03688	s03543	c0410	Prevotella buccae D17	Prevotella buccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	buccae	D17	
159	20190228.0	supernatant	pyg	17.25		s03849	s03689	s03544	c0410	Prevotella buccae D17	Prevotella buccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	buccae	D17	
160	20190228.0	supernatant	pyg	17.25		s03850	s03690	s03545	c0410	Prevotella buccae D17	Prevotella buccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	buccae	D17	
161	20180618.0	supernatant	mm	12.0	24.0	s00951	s00782	s01112	c0068	Clostridium symbiosum BEI HM-309	Clostridium symbiosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	symbiosum		
162	20180618.0	supernatant	mm	12.0	24.0	s00952	s00783	s01113	c0068	Clostridium symbiosum BEI HM-309	Clostridium symbiosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	symbiosum		
163	20180618.0	supernatant	mm	12.0	24.0	s00953	s00784	s01114	c0068	Clostridium symbiosum BEI HM-309	Clostridium symbiosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	symbiosum		
170	20181030.0	supernatant	mm	12.0	30.0	s03016	s03117	s02915	c0080	Coprococcus sp. HPP0048 BEI HM-794	Coprococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		HPP0048	
174	20180720.0	supernatant	rcml	12.0	33.75	s02835	s02171	s02094	c0361	Veillonella sp. HPA0037 BEI HM-850	Veillonella	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella		HPA0037	
175	20180618.0	supernatant	mm	12.0	24.0	s00895	s00721	s01058	c0036	Clostridium asparagiforme DSMZ 15981	Clostridium asparagiforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	asparagiforme		
176	20180618.0	supernatant	mm	12.0	24.0	s00896	s00722	s01059	c0036	Clostridium asparagiforme DSMZ 15981	Clostridium asparagiforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	asparagiforme		
177	20180618.0	supernatant	mm	12.0	24.0	s00897	s00723	s01060	c0036	Clostridium asparagiforme DSMZ 15981	Clostridium asparagiforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	asparagiforme		
182	20180728.0	supernatant	pyg	46.5	40.0	s02775	s02579	s02383	c0359	Prevotella oralis CC98A BEI HM-1054	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	CC98A	
183	20180728.0	supernatant	pyg			s02776	s02580	s02384	c0359	Prevotella oralis CC98A BEI HM-1054	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	CC98A	
184	20180728.0	supernatant	pyg			s02777	s02581	s02385	c0359	Prevotella oralis CC98A BEI HM-1054	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	CC98A	
185	20180618.0	supernatant	mm	12.0	24.0	s00925	s00753	s01088	c0047	Clostridium clostridioforme WAL-7855 BEI HM-317	Clostridium clostridioforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	clostridioforme	WAL-7855	
186	20180618.0	supernatant	mm	12.0	24.0	s00926	s00754	s01089	c0047	Clostridium clostridioforme WAL-7855 BEI HM-317	Clostridium clostridioforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	clostridioforme	WAL-7855	
187	20180618.0	supernatant	mm	12.0	24.0	s00927	s00755	s01090	c0047	Clostridium clostridioforme WAL-7855 BEI HM-317	Clostridium clostridioforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	clostridioforme	WAL-7855	
191	20190228.0	supernatant	pyg	17.25		s03857	s03697	s03552	c0405	Prevotella oralis HGA0225 BEI HM-849	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	HGA0225	
192	20190228.0	supernatant	pyg	17.25		s03858	s03698	s03553	c0405	Prevotella oralis HGA0225 BEI HM-849	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	HGA0225	
193	20190228.0	supernatant	pyg	17.25		s03859	s03699	s03554	c0405	Prevotella oralis HGA0225 BEI HM-849	Prevotella oralis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oralis	HGA0225	
194	20180728.0	supernatant	mm	46.5	40.0	s02760	s02564	s02367	c0184	Parabacteroides merdae ATCC 43184	Parabacteroides merdae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	merdae		
