taxonomy	experiment	media	c18positive	c18negative	hilicpositive
Acidaminococcus intestini D21 BEI HM-81	20180618	mm	s00865	s00691	s01028
Acidaminococcus intestini D21 BEI HM-81	20180618	mm	s00866	s00692	s01029
Acidaminococcus intestini D21 BEI HM-81	20180618	mm	s00867	s00693	s01030
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180512	mm	s00418	s00294	s00541
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180512	mm	s00419	s00295	s00542
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180512	mm	s00420	s00296	s00543
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180512	mm	s00421	s00297	s00544
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180512	mm	s00422	s00298	s00545
Bacteroides dorei CL02T12C06 BEI HM-719	20180512	mm	s00425	s00301	s00548
Bacteroides dorei CL02T12C06 BEI HM-719	20180512	mm	s00426	s00302	s00549
Bacteroides dorei CL02T12C06 BEI HM-719	20180512	mm	s00427	s00303	s00550
Bacteroides dorei CL02T12C06 BEI HM-719	20180512	mm	s00428	s00304	s00551
Bacteroides dorei CL02T12C06 BEI HM-719	20180512	mm	s00429	s00305	s00552
Bacteroides vulgatus ATCC 8482	20180512	mm	s00394	s00270	s00517
Bacteroides vulgatus ATCC 8482	20180512	mm	s00395	s00271	s00518
Bacteroides vulgatus ATCC 8482	20180512	mm	s00396	s00272	s00519
Bacteroides vulgatus ATCC 8482	20180512	mm	s00397	s00273	s00520
Enterococcus faecalis TX1322 BEI HM-202	20180512	mm	s00496	s00372	s00619
Enterococcus faecalis TX1322 BEI HM-202	20180512	mm	s00497	s00373	s00620
Enterococcus faecalis TX1322 BEI HM-202	20180512	mm	s00498	s00374	s00621
Enterococcus faecalis TX1322 BEI HM-202	20180512	mm	s00499	s00375	s00622
Enterococcus faecalis TX1322 BEI HM-202	20180512	mm	s00500	s00376	s00623
Parabacteroides johnsonii DSMZ 18315	20190228	mm	s03787	s03627	s03482
Parabacteroides johnsonii DSMZ 18315	20190228	mm	s03788	s03628	s03483
Parabacteroides johnsonii DSMZ 18315	20190228	mm	s03789	s03629	s03484
Bacteroides sp. WH2	20190228	mm	s03802	s03642	s03497
Bacteroides sp. WH2	20190228	mm	s03803	s03643	s03498
Bacteroides sp. WH2	20190228	mm	s03804	s03644	s03499
Parabacteroides merdae CL03T12C32 BEI HM-730	20190228	mm	s03781	s03621	s03476
Parabacteroides merdae CL03T12C32 BEI HM-730	20190228	mm	s03782	s03622	s03477
Parabacteroides merdae CL03T12C32 BEI HM-730	20190228	mm	s03783	s03623	s03478
Edwardsiella tarda ATCC 23685	20181108	mm	s03222	s03305	s03388
Edwardsiella tarda ATCC 23685	20181108	mm	s03223	s03306	s03389
Edwardsiella tarda ATCC 23685	20181108	mm	s03224	s03307	s03390
Parabacteroides distasonis 31_2 BEI HM-169	20180716	mm	s01790	s01912	s02020
Parabacteroides distasonis 31_2 BEI HM-169	20180716	mm	s01791	s01913	s02021
Parabacteroides distasonis 31_2 BEI HM-169	20180716	mm	nan	nan	s02022
Parabacteroides merdae ATCC 43184	20180728	mm	nan	s02565	s02368
Bifidobacterium bifidum DSMZ 20456	20180716	mm	nan	nan	s02074
Bifidobacterium pseudocatenulatum DSMZ 20438	20181108	mm	s03259	s03342	s03425
Parabacteroides merdae ATCC 43184	20180728	mm	nan	s02565	s02368
Coprococcus sp. HPP0074 BEI HM-793	20200208	mm	s05356	s05418	s05484
Coprococcus sp. HPP0074 BEI HM-793	20200208	mm	s05357	s05419	s05485
Coprococcus sp. HPP0074 BEI HM-793	20200208	mm	s05358	s05420	s05486
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180629	mm	s01581	s01399	s01211
Bacteroides dorei 5_1_36/D4 BEI HM-29	20180629	mm	s01582	s01400	s01212
Bacteroides dorei CL03T12C01 BEI HM-718	20180629	mm	s01591	s01409	s01221
