	m_hilicp_0000	m_hilicp_0003	m_hilicp_0004	m_hilicp_0005	m_hilicp_0006	m_hilicp_0010	m_hilicp_0011	m_hilicp_0013	m_hilicp_0017	m_hilicp_0021	m_hilicp_0022	m_hilicp_0023	m_hilicp_0024	m_hilicp_0026	m_hilicp_0029	m_hilicp_0030	m_hilicp_0033	m_hilicp_0035	m_hilicp_0036	m_hilicp_0042	m_hilicp_0043	m_hilicp_0046	m_hilicp_0047	m_hilicp_0048	m_hilicp_0049	m_hilicp_0051	m_hilicp_0055	m_hilicp_0056	m_hilicp_0057	m_hilicp_0058	m_hilicp_0060	m_hilicp_0061	m_hilicp_0064	m_hilicp_0065	m_hilicp_0069	m_hilicp_0071	m_hilicp_0072	m_hilicp_0074	m_hilicp_0075	m_hilicp_0076	m_hilicp_0077	m_hilicp_0078	m_hilicp_0079	m_hilicp_0080	m_hilicp_0082	m_hilicp_0084	m_hilicp_0085	m_hilicp_0087	m_hilicp_0088	m_hilicp_0090	m_hilicp_0091	m_hilicp_0092	m_hilicp_0093	m_hilicp_0095	m_hilicp_0096	m_hilicp_0097	m_hilicp_0098	m_hilicp_0099	m_hilicp_0100	m_hilicp_0101	m_hilicp_0102	m_hilicp_0104	m_hilicp_0107	m_hilicp_0113	m_hilicp_0116	m_hilicp_0120	m_hilicp_0121	m_hilicp_0123	m_hilicp_0124	m_hilicp_0125	m_hilicp_0127	m_hilicp_0129	m_hilicp_0131	m_hilicp_0132	m_hilicp_0134	m_hilicp_0137	m_hilicp_0138	m_hilicp_0139	m_hilicp_0141	m_hilicp_0142	m_hilicp_0145	m_hilicp_0146	m_hilicp_0149	m_hilicp_0152	m_hilicp_0154	m_hilicp_0155	m_hilicp_0158	m_hilicp_0160	m_hilicp_0161	m_hilicp_0164	m_hilicp_0165	m_hilicp_0168	m_hilicp_0169	m_hilicp_0176	m_hilicp_0180	m_hilicp_0184	m_hilicp_0185	m_hilicp_0187	m_hilicp_0188	m_hilicp_0189	m_hilicp_0190	m_hilicp_0192	m_hilicp_0193	m_hilicp_0194	m_hilicp_0195	m_hilicp_0197	m_hilicp_0200	m_hilicp_0204	m_hilicp_0205	m_hilicp_0206	m_hilicp_0207	m_hilicp_0210	m_hilicp_0211	m_hilicp_0212	m_hilicp_0215	m_hilicp_0223	m_hilicp_0225	m_hilicp_0227	m_hilicp_0229	m_hilicp_0230	m_hilicp_0231	m_hilicp_0235	m_hilicp_0236	m_hilicp_0237	m_hilicp_0238	m_hilicp_0241	m_hilicp_0242	m_hilicp_0244	m_hilicp_0247	m_hilicp_0253	m_hilicp_0255	m_hilicp_0256	m_hilicp_0259	m_hilicp_0264	m_hilicp_0265	m_hilicp_0267	m_hilicp_0270	m_hilicp_0271	m_hilicp_0272	m_hilicp_0273	m_hilicp_0278	m_hilicp_0279	m_hilicp_0291	m_hilicp_0292	m_hilicp_0293	m_hilicp_0295	m_hilicp_0305	m_hilicp_0306	m_hilicp_0310	m_hilicp_0312	m_hilicp_0315	m_hilicp_0316	m_hilicp_0318	m_hilicp_0321	m_hilicp_0322	m_hilicp_0326	m_hilicp_0332	m_hilicp_0338	m_hilicp_0347	m_hilicp_0353	m_hilicp_0356	m_hilicp_0357	m_hilicp_0358	m_hilicp_0359	m_hilicp_0360	m_hilicp_0361	m_hilicp_0362	m_hilicp_0363	m_hilicp_0364	m_hilicp_0365	m_hilicp_0366	m_hilicp_0367
s00235			24471842.0	397030.0		468891.0	13285730.0	12144670.0			1080904.0		69252.0	2964141.0	12029.0	5352824.0		80026.0		18721178.0	73305.0		6729.0		114360.0	30079542.0	73633304.0		203417.0		1251					833452.0	16725.0		179626.0	195752.0	2086206.0	260633.0			571568.0			3125834.0			53220.0			25361.0	48786		15650118	121710.0	8522.0	3497.0		7683810.0			7893.0		12977.0	32121.0				175091.0		34140.0		76485.0		246278.0			36103584					13199.0	16850530		235181.0					449388.0					202015.0		494333.0		53236.0						57255.0			9089	4202683	82806.0		56989.0	30881.0	32818.0	3332.0		382398.0				3036.0	19360.0	7902.0	409560.0				248533.0	646.0						3833.0			147378.0			172694.0		192399.0					0.0	43450.0										272839.0	473571.0	244672.0	466077.0	1034306	658202			735948.0	
s00250			23613000.0	549602.0		2561858.0	13209828.0	9746555.0			961910.0		62129.0	2160854.0	58716.0	4215328.0		46015.0		7626484.0	3350756.0		6305.0		112421.0	22696394.0	75510472.0		6293750.0		5337					150378.0	18007.0		635063.0	282447.0	477011.0	954358.0			553898.0			2628092.0			57989.0			32294.0	2308110		12440502	159013.0	12694.0	23366.0		7211577.0			9164.0		4667879.0	30892.0				18361.0		19231.0		82267.0		177902.0			32179764					7843.0	12734945		301358.0					285768.0					58311.0		448899.0		47023.0						72987.0			87636	3864625	78033.0		57560.0	49401.0	23470.0	270293.0		294443.0				6977.0	11785.0	11619.0	186143.0				183009.0	4838.0						3521.0			117759.0			129610.0		144799.0					103.0	30102.0										214606.0	498817.0	287958.0	482293.0	893445	698960			771497.0	
s00218			34151488.0	397306.0		62569.0	14191217.0	10428403.0			87619.0		75573.0	1494971.0	6235.0	5119633.0		8667.0		55526284.0	2264808.0		8720.0		108859.0	29796780.0	75613808.0		3601608.0		1088					102442.0	11591.0		1523094.0	322270.0	156688.0	440058.0			563156.0			4017378.0			53155.0			37833.0	2573772		14631038	123412.0	5585674.0	5585674.0		6398835.0			18342.0		3944166.0	33907.0				20224.0		16948.0		83475.0		187266.0			34189508					6455.0	16540531		233296.0					296612.0					40721.0		462492.0		47081.0						53483.0			7467	3866610	79658.0		69715.0	17094.0	25794.0	299985.0		248709.0				3509.0	14063.0	35897.0	395469.0				260986.0	3196542.0						101143.0			143067.0			194147.0		184821.0					106.0	11617.0										194547.0	388671.0	247497.0	387423.0	1125711	674142			664811.0	
s00229			21334110.0	384230.0		59247.0	13689771.0	8872288.0			49643.0		60471.0	1813725.0	4848.0	5093899.0		9096.0		53931140.0	2383996.0		8036.0		108223.0	28229168.0	75183280.0		5739638.0		3215					102710.0	11038.0		1414224.0	312013.0	153733.0	370621.0			541190.0			3024133.0			52286.0			39383.0	2359538		13517117	116155.0	5307490.0	5313741.0		6023509.0			18136.0		4093163.0	29342.0				18020.0		15968.0		75855.0		176829.0			32453446					4023.0	15087764		220824.0					255780.0					43856.0		451126.0		45826.0						53324.0			9934	3824050	80337.0		63040.0	30170.0	23815.0	279063.0		377723.0				3056.0	10890.0	36358.0	411722.0				245697.0	2948454.0						95018.0			127807.0			170373.0		164592.0					138.0	5888.0										195369.0	459224.0	395530.0	460482.0	953883	631394			786076.0	
s00216			35157032.0	378051.0		1835502.0	12527270.0	11631954.0			1084175.0		60568.0	2684632.0	13992.0	5278016.0		61015.0		55411944.0	45301.0		8254.0		114521.0	28567294.0	76316200.0		174822.0		3515					189331.0	14304.0		241460.0	168099.0	2689247.0	70003.0			597093.0			2887147.0			52554.0			43237.0	56610		14847625	73508.0	4880.0	1635.0		6521240.0			4242.0		10547.0	32569.0				18531.0		33827.0		94331.0		220713.0			34200024					19164.0	16400750		213181.0					634143.0					214482.0		479702.0		50431.0						49222.0			7695	3836356	74660.0		66200.0	34386.0	28789.0	3826.0		202772.0				2971.0	17652.0	32673.0	322004.0				236111.0	3068284.0						7180.0			136907.0			161184.0		167124.0					0.0	43794.0										246014.0	442709.0	405428.0	487864.0	809441	630946			804365.0	
s00249			24037374.0	359605.0		64485.0	13737821.0	9807360.0			1048232.0		63270.0	1784839.0	4774.0	4658598.0		7785.0		36582628.0	2579822.0		6885.0		117167.0	27564012.0	72859968.0		6110074.0		1754					88024.0	11098.0		1327744.0	324128.0	215434.0	178238.0			538974.0			3567168.0			51672.0			30358.0	1924092		12215600	180248.0	5581576.0	5585340.0		6838298.0			10663.0		4499310.0	28156.0				21421.0		24525.0		92472.0		174746.0			33117984					9754.0	13521604		193060.0					331378.0					43530.0		456002.0		43882.0						51913.0			33822	3791579	77200.0		58667.0	26232.0	21641.0	248430.0		250750.0				3976.0	14513.0	33059.0	396592.0				255077.0	3574266.0						90985.0			121562.0			158659.0		154687.0					0.0	51732.0										223134.0	476963.0	276236.0	459623.0	898935	713392			765577.0	
s00209			71227.0	6008.0		3482.0	16964.0	73834.0			414.0		2733.0	8510.0	197415.0	18673.0		7673.0		48041.0	10218.0		0.0		7348.0	6008.0	261690.0		6021.0		1992					6357.0	11697.0		578.0	114.0	2685.0	114.0			4134.0			3008.0			4600.0			1016.0	1521		10088	2825.0	1733.0	192.0		7085.0			1256.0		10222.0	1609.0				1814.0		4579.0		1219.0		1428.0			10657					3023.0	16711		2800.0					1141.0					931.0		514.0		727.0						1314.0			3976	4467	2025.0		1619.0	2457.0	134.0	110.0		0.0				361.0	107.0	0.0	502.0				184.0	169.0						0.0			117.0			0.0		0.0					0.0	0.0										130.0	1901.0	480.0	2496.0	0	0			1323.0	
s00213			34840232.0	395073.0		416997.0	12918503.0	12348625.0			1095239.0		72736.0	1691517.0	14043.0	5919026.0		64800.0		56624832.0	46724.0		7853.0		109376.0	29201172.0	77363688.0		158305.0		423					192039.0	15109.0		244097.0	170305.0	4153402.0	73308.0			597289.0			2952840.0			51329.0			42007.0	54510		15169797	59934.0	6672.0	3664.0		6676805.0			4237.0		5986.0	31432.0				19631.0		31862.0		100687.0		229124.0			35565704					23412.0	16195954		231217.0					647795.0					215754.0		497419.0		51880.0						57470.0			8425	4053305	82934.0		66393.0	36767.0	27155.0	3228.0		248355.0				3346.0	12066.0	30850.0	422642.0				235612.0	3248876.0						7496.0			146264.0			174443.0		177563.0					0.0	46819.0										264937.0	420865.0	395540.0	484318.0	795431	683034			777362.0	
s00243			33216178.0	931849.0		2716473.0	14886597.0	13015575.0			759754.0		63536.0	3433527.0	6234.0	6088938.0		8791.0		32196182.0	71256.0		8715.0		1566901.0	16904806.0	77471392.0		218575.0		57361					101352.0	16217.0		104932.0	13586.0	25672.0	381680.0			642710.0			2668011.0			55596.0			48619.0	50662		15314968	120072.0	5996338.0	6023121.0		5433237.0			4695.0		5828864.0	33550.0				17285.0		33555.0		81562.0		229115.0			37722172					18297.0	15589650		254487.0					420657.0					235405.0		528251.0		60741.0						210607.0			62768	3306162	83488.0		50217.0	44409.0	22419.0	97376.0		382313.0				12620.0	17022.0	9483.0	610090.0				136056.0	573.0						87639.0			153542.0			176144.0		195519.0					31201.0	21666.0										284511.0	504886.0	401126.0	489260.0	876142	694761			768035.0	
s00215			23105808.0	382478.0		66120.0	12285186.0	12069240.0			949039.0		63584.0	2525336.0	13425.0	5293500.0		60353.0		54392916.0	49594.0		8737.0		110953.0	28509446.0	75302904.0		163600.0		1166					205363.0	14856.0		223195.0	159322.0	3594590.0	115442.0			571753.0			2790608.0			50499.0			42844.0	48748		14792953	64799.0	4124.0	1772.0		6596254.0			4890.0		10781.0	31756.0				16121.0		24362.0		97504.0		222619.0			33717540					19995.0	16063016		205506.0					452231.0					213367.0		482968.0		48921.0						51004.0			9287	3916159	81189.0		63862.0	32091.0	27683.0	3428.0		281330.0				3515.0	18807.0	32888.0	391156.0				255273.0	3022286.0						5876.0			130395.0			152820.0		164687.0					126.0	45230.0										230946.0	439610.0	257561.0	507024.0	839350	714566			797618.0	
s00211			22658544.0	411482.0		58348.0	14877510.0	10474074.0			565048.0		77459.0	1161152.0	10323.0	3988285.0		32841.0		56388040.0	1037643.0		9250.0		108666.0	29906784.0	73870032.0		1610298.0		2707					152662.0	13351.0		982096.0	252329.0	1544086.0	276456.0			556018.0			3699484.0			59610.0			45457.0	1366585		14915832	72339.0	3283607.0	3305801.0		5196387.0			10351.0		1882730.0	33919.0				19012.0		20457.0		90106.0		217054.0			33776232					13810.0	15856479		227878.0					537934.0					111697.0		483184.0		50942.0						77974.0			7799	4070742	45234.0		74012.0	25944.0	27511.0	164783.0		275054.0				3379.0	10570.0	40343.0	309574.0				238985.0	2861362.0						60072.0			142150.0			178205.0		177186.0					0.0	29590.0										215733.0	349347.0	264132.0	470403.0	870860	692543			745341.0	
s00247			23439390.0	483575.0		2547229.0	13445871.0	10062041.0			992160.0		60735.0	2556262.0	49134.0	5150016.0		42429.0		7501916.0	3445132.0		8350.0		114528.0	26039658.0	75587088.0		6269808.0		3148					131213.0	14856.0		909632.0	313609.0	255455.0	716578.0			558991.0			2957617.0			59951.0			34670.0	1967877		12648739	129951.0	14673.0	26256.0		7394306.0			12577.0		4680504.0	26284.0				18104.0		23528.0		79111.0		179958.0			33406408					4480.0	13592043		276285.0					340003.0					41462.0		455677.0		47550.0						62762.0			72112	3936492	78774.0		52894.0	47589.0	23573.0	254847.0		367090.0				5784.0	16858.0	8927.0	496914.0				188753.0	5451.0						8119.0			127041.0			150407.0		150101.0					627.0	31385.0										221781.0	480816.0	379628.0	451868.0	1008252	690925			738496.0	
s00231			21113820.0	375285.0		66079.0	13682860.0	8727556.0			45380.0		60836.0	1408264.0	5286.0	4879727.0		7195.0		53422540.0	2402193.0		7507.0		104256.0	28269258.0	73459136.0		4080610.0		1456					90601.0	9666.0		1395138.0	310509.0	136770.0	386177.0			524396.0			3679953.0			52776.0			26905.0	2362112		13145459	128275.0	5171243.0	5176672.0		5865776.0			19073.0		4221720.0	32075.0				18604.0		13948.0		70364.0		172474.0			32173298					5770.0	14858865		218621.0					236946.0					45109.0		454916.0		45733.0						53508.0			8096	3820480	43895.0		59865.0	29560.0	22813.0	277207.0		271771.0				5670.0	8061.0	34100.0	244510.0				251376.0	2611727.0						74954.0			127401.0			165947.0		157441.0					0.0	5867.0										204591.0	456366.0	239639.0	459101.0	884996	734235			767163.0	
s00232			30898680.0	364086.0		66361.0	13850441.0	8807821.0			58752.0		57269.0	1838037.0	3792.0	4273447.0		7533.0		52995100.0	2338266.0		7313.0		106268.0	27852554.0	76039192.0		6035756.0		1398					102769.0	11783.0		1336954.0	301200.0	148560.0	356590.0			537743.0			3531055.0			52814.0			28048.0	2267875		12820488	111303.0	5050452.0	5050526.0		5893397.0			19474.0		4167585.0	33586.0				17345.0		13796.0		71103.0		169469.0			30882464					4962.0	14283627		202289.0					247086.0					41049.0		472510.0		45266.0						53894.0			8821	3502948	79102.0		55356.0	27887.0	22581.0	265456.0		257697.0				3717.0	9504.0	32272.0	408363.0				247213.0	2726283.0						87248.0			116375.0			158914.0		148560.0					265.0	8360.0										198176.0	490633.0	250251.0	474929.0	821935	710527			802835.0	
s00210			41626.0	11212.0		1220.0	14680.0	31218.0			0.0		511.0	5504.0	158967.0	13223.0		9542.0		42762.0	6930.0		0.0		10753.0	5959.0	428054.0		5023.0		5298					14610.0	5732.0		1356.0	160.0	2189.0	518.0			3905.0			2434.0			2146.0			734.0	399		7508	2478.0	1874.0	537.0		3603.0			2724.0		615.0	837.0				2401.0		4173.0		476.0		795.0			13660					6520.0	14874		1482.0					671.0					1672.0		809.0		1134.0						477.0			1858	1346	2699.0		541.0	1237.0	129.0	114.0		370.0				899.0	140.0	133.0	420.0				171.0	270.0						153.0			0.0			0.0		106.0					0.0	0.0										129.0	985.0	375.0	1471.0	0	0			1763.0	
s00226			34169736.0	391317.0		79066.0	14094902.0	10365242.0			587846.0		67727.0	2147671.0	6520.0	5015510.0		37296.0		38919892.0	2145180.0		8444.0		115993.0	28999994.0	74604304.0		2194969.0		2985					461107.0	14350.0		924272.0	282704.0	1392739.0	587857.0			560037.0			3030469.0			55207.0			34625.0	1362387		14326602	166474.0	3182567.0	3205203.0		7108774.0			9529.0		2297225.0	33927.0				89363.0		21492.0		63461.0		201525.0			34136600					10625.0	15826949		227250.0					365546.0					118670.0		478482.0		51927.0						66432.0			7306	3866873	82792.0		62304.0	20047.0	24863.0	148465.0		269688.0				3085.0	13798.0	23645.0	447876.0				233873.0	1707980.0						50974.0			136811.0			171658.0		172881.0					0.0	27454.0										238977.0	492757.0	262536.0	459611.0	872202	624107			781524.0	
s00256			68727.0	7509.0		6788.0	20329.0	123110.0			3547.0		0.0	6577.0	12382.0	13700.0		4618.0		44477.0	18807.0		158.0		12969.0	9219.0	263490.0		17086.0		1006					11473.0	3905.0		3324.0	940.0	1914.0	9184.0			2393.0			2873.0			2509.0			1870.0	4032		27139	462.0	1895.0	239.0		3942.0			4406.0		21832.0	940.0				3180.0		3039.0		1240.0		2326.0			38655					8704.0	40199		1828.0					4804.0					3615.0		1453.0		614.0						1089.0			5211	3022	2589.0		580.0	1918.0	182.0	765.0		0.0				574.0	233.0	0.0	363.0				296.0	364.0						108.0			0.0			0.0		0.0					0.0	0.0										204.0	596.0	771.0	1345.0	107	0			1172.0	
