	m_c18p_0000	m_c18p_0001	m_c18p_0003	m_c18p_0005	m_c18p_0006	m_c18p_0007	m_c18p_0008	m_c18p_0009	m_c18p_0011	m_c18p_0012	m_c18p_0013	m_c18p_0014	m_c18p_0015	m_c18p_0017	m_c18p_0018	m_c18p_0019	m_c18p_0020	m_c18p_0021	m_c18p_0022	m_c18p_0023	m_c18p_0025	m_c18p_0026	m_c18p_0027	m_c18p_0028	m_c18p_0029	m_c18p_0030	m_c18p_0031	m_c18p_0032	m_c18p_0035	m_c18p_0037	m_c18p_0038	m_c18p_0039	m_c18p_0041	m_c18p_0042	m_c18p_0043	m_c18p_0044	m_c18p_0046	m_c18p_0047	m_c18p_0049	m_c18p_0050	m_c18p_0052	m_c18p_0053	m_c18p_0055	m_c18p_0056	m_c18p_0060	m_c18p_0064	m_c18p_0065	m_c18p_0067	m_c18p_0068	m_c18p_0069	m_c18p_0070	m_c18p_0072	m_c18p_0076	m_c18p_0080	m_c18p_0081	m_c18p_0082	m_c18p_0083	m_c18p_0084	m_c18p_0091	m_c18p_0093	m_c18p_0094	m_c18p_0098	m_c18p_0100	m_c18p_0102	m_c18p_0103	m_c18p_0105	m_c18p_0107	m_c18p_0108	m_c18p_0111	m_c18p_0112	m_c18p_0113	m_c18p_0114	m_c18p_0115	m_c18p_0117	m_c18p_0118	m_c18p_0119	m_c18p_0120	m_c18p_0121	m_c18p_0124	m_c18p_0125	m_c18p_0126	m_c18p_0129	m_c18p_0131	m_c18p_0133	m_c18p_0134	m_c18p_0135	m_c18p_0136	m_c18p_0137	m_c18p_0139	m_c18p_0140	m_c18p_0142	m_c18p_0146	m_c18p_0147	m_c18p_0149	m_c18p_0152	m_c18p_0154	m_c18p_0158	m_c18p_0159	m_c18p_0160	m_c18p_0161	m_c18p_0162	m_c18p_0163	m_c18p_0164	m_c18p_0170	m_c18p_0172	m_c18p_0174	m_c18p_0176	m_c18p_0177	m_c18p_0178	m_c18p_0179	m_c18p_0186	m_c18p_0189	m_c18p_0190	m_c18p_0195	m_c18p_0197	m_c18p_0199	m_c18p_0202	m_c18p_0204	m_c18p_0207	m_c18p_0209	m_c18p_0210	m_c18p_0213	m_c18p_0216	m_c18p_0217	m_c18p_0219	m_c18p_0220	m_c18p_0222	m_c18p_0223	m_c18p_0226	m_c18p_0232	m_c18p_0233	m_c18p_0234	m_c18p_0242	m_c18p_0245	m_c18p_0246	m_c18p_0249	m_c18p_0253	m_c18p_0255	m_c18p_0259	m_c18p_0263	m_c18p_0265	m_c18p_0267	m_c18p_0269	m_c18p_0270	m_c18p_0272	m_c18p_0274	m_c18p_0276	m_c18p_0278	m_c18p_0279	m_c18p_0280	m_c18p_0281	m_c18p_0283	m_c18p_0285	m_c18p_0286	m_c18p_0288	m_c18p_0290	m_c18p_0291	m_c18p_0301	m_c18p_0309	m_c18p_0311	m_c18p_0312	m_c18p_0314	m_c18p_0316	m_c18p_0319	m_c18p_0320	m_c18p_0322	m_c18p_0323	m_c18p_0324	m_c18p_0326	m_c18p_0327	m_c18p_0328	m_c18p_0329	m_c18p_0330	m_c18p_0332	m_c18p_0333	m_c18p_0342	m_c18p_0343	m_c18p_0348	m_c18p_0349	m_c18p_0353	m_c18p_0354	m_c18p_0355	m_c18p_0360	m_c18p_0361	m_c18p_0364	m_c18p_0365	m_c18p_0366	m_c18p_0369	m_c18p_0371	m_c18p_0372	m_c18p_0374	m_c18p_0375	m_c18p_0376	m_c18p_0377	m_c18p_0378	m_c18p_0379	m_c18p_0380	m_c18p_0381	m_c18p_0383	m_c18p_0384	m_c18p_0385	m_c18p_0387	m_c18p_0388	m_c18p_0390	m_c18p_0391	m_c18p_0392	m_c18p_0397	m_c18p_0398	m_c18p_0399	m_c18p_0400	m_c18p_0401	m_c18p_0402	m_c18p_0403	m_c18p_0405	m_c18p_0408	m_c18p_0410	m_c18p_0417	m_c18p_0418	m_c18p_0419	m_c18p_0421	m_c18p_0422	m_c18p_0423	m_c18p_0424	m_c18p_0426	m_c18p_0428	m_c18p_0429	m_c18p_0430	m_c18p_0432	m_c18p_0433	m_c18p_0438	m_c18p_0440	m_c18p_0442	m_c18p_0443	m_c18p_0445	m_c18p_0449	m_c18p_0453	m_c18p_0454	m_c18p_0456	m_c18p_0460	m_c18p_0461	m_c18p_0462	m_c18p_0464	m_c18p_0466	m_c18p_0469	m_c18p_0472	m_c18p_0474	m_c18p_0480	m_c18p_0481	m_c18p_0482	m_c18p_0483	m_c18p_0485	m_c18p_0491	m_c18p_0495	m_c18p_0496	m_c18p_0498	m_c18p_0503	m_c18p_0504	m_c18p_0508	m_c18p_0509	m_c18p_0510	m_c18p_0514	m_c18p_0516	m_c18p_0518	m_c18p_0521	m_c18p_0533	m_c18p_0535	m_c18p_0544	m_c18p_0551	m_c18p_0554	m_c18p_0555	m_c18p_0556	m_c18p_0557	m_c18p_0558	m_c18p_0559	m_c18p_0560	m_c18p_0561	m_c18p_0562	m_c18p_0563	m_c18p_0564	m_c18p_0565	m_c18p_0566	m_c18p_0567	m_c18p_0568	m_c18p_0569	m_c18p_0570	m_c18p_0571
s00001						0.0		276	3534.0	14851.0		204367	63001.0	0.0			107.0		259820.0	0.0			101.0	3019	0.0			8811		26537	21240.0	20653		75151.0			238.0		2304	0.0			108.0	994.0		763.0	321.0	3933	3204.0		0.0			257308.0	18500.0				313.0	3918.0			3332.0						406	196.0			462.0		0.0		164.0		687.0			42.0			434.0	3178.0		2029.0		547.0		407.0			122.0	249.0		787.0	1557.0	1665.0		453.0	0.0	0.0	1380	114.0			7656.0							370.0				948.0	1491.0			100.0		232.0	1764			17564.0	13338.0	22602.0	24.0				12663.0					1203.0	153.0								167.0							909		0.0	845.0	203.0		540.0	566.0			0	118.0	0			0.0					0.0		0.0			0	146.0							180.0				103.0		102.0	111.0	0.0							621.0	0.0	0.0			0.0	0.0				128.0	15951.0	0.0							129.0		0.0			0.0	0.0	0.0		21157.0	0.0			0.0			0.0			782.0					0.0				105.0					0.0		0.0		0	0.0	1831614.0					0		987	497	1994.0	751.0	2325	155.0	691	1247	119	851	101.0		0.0	2801.0	754.0	0.0
s00005						12027.0		6570	2723879.0	1675478.0		47569004	34268.0	348626.0			30893.0		23867944.0	30470.0			201718.0	44788	129676.0			1470910		15110	107769.0	8598254		4695.0			3429.0		16407	11717.0			844081.0	7502.0		22658.0	36569.0	31798	1067406.0		36710.0			9417856.0	22067.0				9618.0	2893.0			8611.0						41442	9781.0			406105.0		61037.0		7456.0		338408.0			1755849.0			76855.0	35696.0		42378.0		1679281.0		129638.0			8421.0	15219.0		24438.0	5296.0	22191.0		26954.0	782966.0	20800.0	2359365	975.0			24521430.0							12260.0				22254.0	20070.0			14644.0		412300.0	81659			64674.0	21852766.0	81127368.0	5759.0				189355.0					127030.0	18891.0								95450.0							11634083		24186.0	0.0	3472.0		108886.0	4128.0			12206	250.0	38827			55397.0					160254.0		26493.0			3302	53080.0							12459.0				129437.0		13042.0	59462.0	2002.0							48467.0	16676.0	39730.0			60565.0	72507.0				35046.0	42560.0	1041252.0							2956741.0		131370.0			2920.0	21103.0	299285.0		6375.0	0.0			23481.0			25914.0			73318.0					455646.0				479.0					1781.0		0.0		42106	40370.0	608920.0					105949		489293	1044044	740588.0	384172.0	1563060	1499104.0	267926	2790924	1578057	305673	67787.0		44209.0	6552.0	46342.0	24054.0
s00111						5021.0		667530	1946400.0	224751.0		45636768	92869.0	240905.0			345.0		15685217.0	20512.0			161315.0	21832	123590.0			1518308		8356064	99075.0	37419		6234.0			1467.0		277971	2449.0			740345.0	2997.0		60634.0	32518.0	8310	243949.0		17904.0			848416.0	12174.0				3104.0	2021503.0			13929.0						19334	9669.0			267379.0		65330.0		4912.0		3426.0			1277498.0			100644.0	21804.0		42434.0		1892498.0		1845.0			4626.0	16349.0		20100.0	9512.0	16238.0		103.0	745844.0	42900.0	2041090	1327011.0			18088388.0							136256.0				27850.0	14286.0			20885.0		255972.0	78782			18401.0	79467.0	336516.0	770.0				151133.0					107334.0	17249.0								0.0							53084		7339.0	59735.0	33803.0		39453.0	3987.0			44772	36338.0	35940			24709.0					117434.0		23856.0			575811	40690.0							13474.0				108248.0		12715.0	65556.0	1721.0							46313.0	1585.0	23576.0			48739.0	61825.0				53239.0	34416.0	307115.0							3075338.0		266535.0			5624.0	25253.0	307765.0		13221.0	24576.0			3169.0			23553.0			54804.0					494626.0				0.0					6697.0		151.0		28541	889.0	446927.0					75384		562533	1227975	1366021.0	573883.0	2455410	1639073.0	288187	2959406	1701350	326319	80232.0		44999.0	85343.0	41910.0	23168.0
s00074						9556.0		906565	37826.0	512365.0		39047664	27767.0	136336.0			4282.0		2761835.0	27248.0			229678.0	228890	120271.0			442052		6296958	107355.0	5750531		82308.0			916.0		480331	2277.0			601556.0	55777.0		17219.0	34275.0	154561	197689.0		21989.0			1768624.0	4813.0				17089.0	1923704.0			7478.0						20570	5842.0			221344.0		63585.0		20342.0		443217.0			1820697.0			89349.0	21917.0		50046.0		1887162.0		3748.0			3383.0	15084.0		21916.0	5048.0	17696.0		7654.0	1012401.0	953127.0	2303539	1145434.0			24224332.0							145325.0				13583.0	14818.0			15444.0		112053.0	208667			51058.0	22136302.0	80362072.0	7735.0				128740.0					114687.0	26505.0								22916.0							9689846		1613.0	8217.0	1449.0		43033.0	1970.0			24407	0.0	34668			23539.0					190649.0		28269.0			4083	42549.0							12797.0				114792.0		10899.0	51734.0	10481.0							43669.0	13118.0	36107.0			58171.0	65439.0				37143.0	43238.0	292918.0							4105112.0		107311.0			99677.0	19546.0	272481.0		13315.0	76819.0			441921.0			21020.0			92457.0					364237.0				35218.0					0.0		140.0		51406	42855.0	409863.0					29192		503362	1002857	720409.0	429952.0	1502560	1351853.0	233361	2762752	1504647	289948	77480.0		39310.0	110254.0	43214.0	25117.0
s00093						143.0		246	9548.0	8628.0		204473	31667.0	260.0			0.0		365424.0	0.0			248.0	3723	258.0			10100		12467	12408.0	7835		111644.0			0.0		5699	0.0			0.0	1558.0		807.0	732.0	2975	2970.0		209.0			335282.0	7672.0				971.0	3900.0			2763.0						514	108.0			334.0		150.0		170.0		1839.0			1912.0			2151.0	1207.0		1135.0		1566.0		793.0			269.0	0.0		821.0	2434.0	320.0		835.0	0.0	0.0	1130	244.0			532.0							2693.0				887.0	1537.0			503.0		184.0	5491			1934.0	19380.0	17942.0	275.0				5991.0					367.0	113.0								0.0							462		0.0	599.0	259.0		702.0	610.0			0	117.0	0			0.0					0.0		0.0			211	0.0							284.0				349.0		115.0	847.0	150.0							2984.0	0.0	603.0			0.0	0.0				0.0	12886.0	0.0							0.0		0.0			119.0	0.0	0.0		19396.0	0.0			0.0			0.0			217.0					0.0				0.0					0.0		0.0		0	0.0	1293057.0					0		102	110	1704.0	4713.0	453	0.0	5928	704	264	655	0.0		0.0	116743.0	105.0	0.0
s00106						5693.0		1857511	3101578.0	246727.0		51905336	87037.0	163338.0			2450.0		18805840.0	11335.0			180062.0	14791	133477.0			893051		8770465	112239.0	44785		4749.0			1493.0		282413	2772.0			639449.0	2022.0		48380.0	37640.0	7597	824454.0		20535.0			2775380.0	31170.0				4121.0	2464503.0			12828.0						20488	4609.0			417390.0		71171.0		10198.0		3949.0			1458099.0			117271.0	27445.0		43776.0		2258018.0		3679.0			5432.0	15026.0		21880.0	8503.0	18980.0		24272.0	931536.0	43645.0	2267896	1432337.0			20894756.0							159629.0				30514.0	18009.0			19330.0		272246.0	74441			20926.0	97124.0	380793.0	1251.0				166778.0					120869.0	16088.0								15174.0							57453		8542.0	101074.0	43111.0		42299.0	5083.0			51837	40028.0	39205			28906.0					169824.0		23913.0			610772	55996.0							12361.0				121168.0		14896.0	75578.0	3586.0							40558.0	979.0	27955.0			60878.0	65564.0				59915.0	31688.0	678692.0							3542885.0		320859.0			5150.0	30583.0	318106.0		6100.0	34275.0			3509.0			21249.0			81095.0					430334.0				802.0					7534.0		191.0		31741	1851.0	421514.0					63054		466780	1050436	833384.0	498671.0	2177010	1417070.0	239446	2539886	1501960	243921	80262.0		43439.0	1660.0	39126.0	13629.0
s00002						0.0		71	3683.0	14047.0		414096	48452.0	384.0			0.0		419757.0	0.0			0.0	4659	116.0			2346		18512	16575.0	5131		74046.0			0.0		1949	104.0			0.0	863.0		1297.0	256.0	3390	1112.0		0.0			311683.0	12865.0				1855.0	4057.0			1337.0						1440	0.0			350.0		935.0		773.0		6.0			32.0			1233.0	997.0		116.0		311.0		1780.0			218.0	141.0		1046.0	1555.0	619.0		151.0	118.0	0.0	608	0.0			4290.0							797.0				1589.0	1569.0			359.0		135.0	1822			22591.0	27824.0	37549.0	262.0				10179.0					704.0	616.0								0.0							997		0.0	438.0	290.0		63.0	963.0			0	117.0	142			108.0					0.0		0.0			100	114.0							289.0				0.0		127.0	0.0	0.0							1671.0	0.0	352.0			0.0	0.0				0.0	15934.0	0.0							0.0		0.0			0.0	0.0	0.0		21556.0	0.0			0.0			0.0			616.0					0.0				0.0					0.0		0.0		0	0.0	1899748.0					0		293	1200	300.0	2643.0	2830	132.0	658	1551	116	610	0.0		0.0	2934.0	871.0	0.0
s00109						6290.0		2414693	3774092.0	208851.0		47045224	67526.0	209683.0			5015.0		18263738.0	16315.0			168024.0	26707	133236.0			1627704		7923002	107680.0	40431		6011.0			876.0		271210	2121.0			679218.0	2621.0		50809.0	34732.0	9192	666228.0		24230.0			2827498.0	21442.0				8473.0	2216620.0			10390.0						19953	4174.0			528897.0		106064.0		6339.0		1809.0			1129558.0			104373.0	35565.0		46073.0		1921516.0		3829.0			4871.0	16008.0		21661.0	10514.0	21403.0		29161.0	791106.0	44722.0	2151089	1379317.0			18525354.0							152830.0				29149.0	15118.0			23629.0		263624.0	94195			16256.0	84621.0	332011.0	108.0				161651.0					111540.0	17676.0								31947.0							43292		7999.0	60195.0	44275.0		38638.0	4267.0			49500	35432.0	37691			26464.0					130032.0		23665.0			645380	44661.0							13402.0				111958.0		13364.0	68728.0	4187.0							45028.0	1015.0	23068.0			54502.0	51191.0				55982.0	34210.0	751145.0							2246251.0		412200.0			3969.0	30289.0	308300.0		12452.0	24548.0			3368.0			23778.0			97670.0					376451.0				0.0					8440.0		0.0		29529	219.0	441096.0					60533		545913	1165925	1215243.0	516507.0	2332799	1546861.0	265441	2832354	1618051	284639	82881.0		41336.0	63778.0	42439.0	24724.0
s00038						9795.0		1195994	4486427.0	1402394.0		52207284	945076.0	120947.0			11525.0		19512198.0	18698.0			243851.0	25567	122824.0			929723		7469955	186949.0	1267577		27853.0			740.0		170634	1923.0			801724.0	2830.0		40558.0	623070.0	19944	452383.0		34659.0			1709282.0	20217.0				5502.0	398012.0			8758.0						18338	6135.0			698354.0		5896.0		201.0		0.0			2338276.0			86416.0	34666.0		46714.0		1862155.0		3324.0			50054.0	14095.0		22760.0	55906.0	27712.0		24508.0	595776.0	18864.0	2239495	823069.0			19042770.0							161956.0				127783.0	43171.0			24931.0		248205.0	97509			62398.0	24474202.0	83201856.0	9066.0				167410.0					159812.0	3679.0								45642.0							13657650		23462.0	54154.0	4695.0		76977.0	3467.0			32917	298.0	37660			113855.0					103710.0		21581.0			6246	84532.0							9790.0				96487.0		15841.0	59654.0	4027.0							50849.0	0.0	27026.0			13883.0	552.0				13139.0	34548.0	694271.0							0.0		0.0			2417.0	0.0	401.0		21964.0	13593.0			430.0			21161.0			89329.0					484387.0				2642.0					0.0		33961.0		35694	531.0	582310.0					73275		536251	1162420	834902.0	490153.0	1535714	1610365.0	295930	2936077	1699472	302130	72419.0		41789.0	338238.0	44618.0	35452.0
s00053						5038.0		32164	51349.0	1077867.0		32907064	449370.0	169152.0			14199.0		2425316.0	32627.0			561.0	619056	116470.0			622306		18329332	139731.0	7573887		60827.0			12155.0		232905	9061.0			146830.0	222874.0		16744.0	33131.0	472335	532316.0		17087.0			5137762.0	14493.0				29625.0	3512.0			7900.0						25175	12469.0			394596.0		99138.0		15003.0		205921.0			7910458.0			86524.0	30009.0		42687.0		1724999.0		5782.0			5994.0	16514.0		21034.0	7430.0	15417.0		11504.0	517100.0	868930.0	1964236	10729.0			20543880.0							147369.0				15950.0	15078.0			15966.0		307336.0	121688			54986.0	19476902.0	72610984.0	8201.0				113802.0					102452.0	23062.0								58215.0							7958888		11735.0	0.0	332.0		46992.0	7042.0			20959	14176.0	31506			35738.0					120723.0		29088.0			40178	25099.0							11012.0				89210.0		10599.0	32279.0	9892.0							42953.0	31522.0	24352.0			8796.0	1722.0				36234.0	38950.0	531260.0							6062.0		0.0			98110.0	668.0	1766.0		23629.0	73383.0			10925.0			23223.0			77308.0					352730.0				30084.0					829.0		0.0		23756	947.0	482735.0					99803		587346	1101164	854011.0	510448.0	1689059	1578384.0	285733	3402956	1723299	342490	79534.0		41524.0	158956.0	49169.0	29250.0
s00055						7276.0		49439	72268.0	1231078.0		41877700	84020.0	159472.0			6889.0		20412546.0	15537.0			770.0	1074317	123936.0			645196		10854058	291135.0	17337218		88094.0			14362.0		245915	8803.0			14400.0	205675.0		37312.0	31410.0	431853	932213.0		16711.0			8310758.0	29264.0				186118.0	6606.0			6007.0						23195	10379.0			1009186.0		104839.0		26116.0		635834.0			6685259.0			93330.0	62708.0		56226.0		1862443.0		7751.0			5748.0	14283.0		23252.0	3619.0	13535.0		21841.0	641131.0	675066.0	2111348	19366.0			24164962.0							168565.0				21393.0	15527.0			18013.0		324543.0	77823			38998.0	23283436.0	81792880.0	8115.0				121356.0					121060.0	20616.0								657771.0							10219037		9248.0	0.0	4394.0		39283.0	3785.0			26601	104230.0	35136			63687.0					126179.0		20884.0			7553	51827.0							9045.0				104217.0		14198.0	32092.0	10188.0							53090.0	32583.0	27203.0			22291.0	8469.0				38657.0	34871.0	1070370.0							146311.0		14730.0			116873.0	0.0	96236.0		17586.0	80803.0			24610.0			16600.0			73772.0					140709.0				35583.0					3457.0		0.0		24401	9684.0	472066.0					86780		485098	1010435	772591.0	509945.0	1606023	1552372.0	303340	3314944	1782202	348662	78149.0		36826.0	134100.0	43499.0	28682.0
s00022						7002.0		2318821	135571.0	1640224.0		36348448	29971.0	11500.0			5335.0		2689861.0	13158.0			115989.0	932711	119150.0			1007987		6277804	102462.0	5343716		114147.0			1294.0		522852	3099.0			581759.0	250516.0		48039.0	37257.0	49717	777548.0		21770.0			11999402.0	23615.0				340706.0	1838.0			9010.0						20534	7808.0			464900.0		195063.0		24011.0		13079.0			2430563.0			88811.0	37190.0		19354.0		1802663.0		4122.0			6656.0	15945.0		22688.0	1268.0	15321.0		1084.0	827463.0	431058.0	2086638	976898.0			20014504.0							128395.0				13560.0	16805.0			25329.0		275907.0	81278			42287.0	20869990.0	71877888.0	5591.0				111360.0					109510.0	30080.0								108450.0							6183571		15981.0	68167.0	1129.0		48554.0	5975.0			42367	253.0	32111			26513.0					45446.0		27911.0			2178	43068.0							11129.0				83031.0		11292.0	49986.0	10763.0							46949.0	29639.0	20853.0			55889.0	67206.0				34431.0	34747.0	664908.0							2632604.0		77965.0			95757.0	19056.0	275376.0		16671.0	76000.0			1787.0			25065.0			67227.0					403486.0				37380.0					0.0		480.0		8331	19001.0	501415.0					91422		532796	1073347	658599.0	454466.0	1537463	1405009.0	243535	3052754	1572266	341928	76484.0		39696.0	447949.0	43518.0	25854.0
s00089						10288.0		542905	36375.0	502275.0		39340928	29922.0	64789.0			3946.0		2357215.0	31728.0			231659.0	255752	120705.0			395257		6700424	108124.0	4041711		85351.0			460.0		485268	3138.0			676324.0	115697.0		33955.0	35282.0	157553	203756.0		21038.0			708480.0	13844.0				10332.0	1896214.0			7639.0						22559	3480.0			200583.0		102347.0		24899.0		453752.0			1807198.0			91527.0	25088.0		47713.0		1775626.0		2822.0			4880.0	14699.0		25229.0	2902.0	17906.0		5702.0	1012348.0	936951.0	2208503	1082305.0			23649058.0							153399.0				14745.0	14432.0			11417.0		398367.0	186175			45413.0	23415108.0	77444424.0	8269.0				124995.0					113126.0	26533.0								12690.0							9293479		6148.0	35586.0	3726.0		42710.0	3673.0			24960	0.0	30191			25757.0					188157.0		28539.0			4173	41984.0							12291.0				117473.0		12508.0	48491.0	9817.0							47455.0	30814.0	33746.0			56240.0	65046.0				37219.0	40584.0	278649.0							2834519.0		112876.0			98938.0	21292.0	273381.0		12190.0	82603.0			434181.0			20746.0			98709.0					260931.0				34404.0					904.0		163.0		52636	40081.0	401302.0					99092		498523	1007546	679327.0	450413.0	1505447	1384890.0	236860	2719106	1585054	304148	77562.0		39405.0	98675.0	41210.0	24658.0
s00030						2120.0		89158	29463.0	504746.0		37768352	24340.0	24182.0			1325.0		2669052.0	26563.0			231467.0	61053	115209.0			125724		6580494	104998.0	3833726		93996.0			607.0		500119	2272.0			615389.0	55742.0		16707.0	33881.0	151184	32068.0		18974.0			71431.0	3873.0				12562.0	1876765.0			11696.0						19523	7295.0			56535.0		43769.0		28284.0		438841.0			1803777.0			87943.0	12066.0		48759.0		1778531.0		2043.0			2945.0	14425.0		24146.0	4765.0	14300.0		0.0	1022225.0	916744.0	2205891	1130290.0			23820630.0							152393.0				14195.0	13979.0			10687.0		117999.0	177573			52963.0	23121526.0	77943320.0	6994.0				123393.0					113989.0	25248.0								25839.0							9514152		1898.0	10774.0	2051.0		41913.0	1962.0			27405	106.0	27553			23934.0					171310.0		25577.0			3419	35318.0							13871.0				102129.0		10174.0	50931.0	9342.0							43131.0	11658.0	35925.0			51059.0	61860.0				40558.0	40011.0	55256.0							2306412.0		93390.0			93514.0	20819.0	223492.0		14981.0	82607.0			444324.0			22528.0			92365.0					350108.0				33089.0					9038.0		0.0		51377	40405.0	434210.0					28752		501226	1001788	594786.0	436509.0	1469463	1351502.0	237069	2740401	1519006	301633	72964.0		39895.0	237504.0	42486.0	23688.0
s00119						156.0		0	17232.0	16199.0		210060	20063.0	198.0			114.0		447801.0	0.0			207.0	1347	257.0			11853		17711	8306.0	12967		132425.0			0.0		4312	0.0			247.0	552.0		1303.0	709.0	2094	1477.0		689.0			267797.0	27973.0				1516.0	8966.0			587.0						1005	234.0			1247.0		4763.0		3696.0		850.0			31.0			2485.0	1398.0		688.0		827.0		549.0			616.0	0.0		3024.0	4021.0	4553.0		1882.0	0.0	541.0	823	0.0			2985.0							3715.0				649.0	1667.0			559.0		0.0	3214			7693.0	6764.0	4915.0	227.0				5602.0					27.0	291.0								109.0							14		0.0	0.0	0.0		145.0	108.0			0	0.0	0			0.0					0.0		0.0			368	401.0							540.0				146.0		127.0	1870.0	129.0							840.0	0.0	102.0			0.0	114.0				0.0	13883.0	0.0							145.0		0.0			0.0	0.0	0.0		23063.0	0.0			0.0			0.0			121.0					0.0				0.0					0.0		0.0		123	0.0	1250305.0					0		144	1029	1676.0	1519.0	2833	118.0	5411	497	351	680	0.0		0.0	104548.0	226.0	0.0
s00116						4720.0		2450691	3679713.0	218938.0		44775208	76917.0	317320.0			9804.0		13722819.0	19990.0			158649.0	33387	118841.0			1811238		11994948	97834.0	39712		19272.0			1250.0		284560	2558.0			801504.0	3452.0		49939.0	40646.0	6234	595341.0		21609.0			2421549.0	13455.0				10067.0	1986201.0			11976.0						18572	6019.0			475210.0		89294.0		5753.0		2497.0			1242819.0			105165.0	33192.0		42424.0		1864244.0		3210.0			4350.0	15208.0		15830.0	9399.0	16359.0		26351.0	711205.0	40632.0	1958383	1300879.0			17643994.0							144619.0				25662.0	15334.0			23560.0		284575.0	99530			15546.0	70610.0	308901.0	1092.0				152695.0					109114.0	19405.0								29645.0							57553		8150.0	107296.0	35056.0		39520.0	5178.0			45483	35171.0	35228			26006.0					111613.0		22650.0			587453	40012.0							14105.0				98742.0		12319.0	64276.0	3821.0							51055.0	2306.0	21172.0			54108.0	59184.0				49345.0	31726.0	758486.0							2748421.0		285528.0			5457.0	26889.0	291794.0		11829.0	25859.0			3193.0			23050.0			87393.0					492713.0				0.0					7539.0		0.0		31004	2207.0	436639.0					90223		570025	1234202	1240535.0	550458.0	2581950	1676716.0	293301	3043871	1772926	335967	82345.0		39682.0	75715.0	39845.0	25625.0
s00020						4991.0		2368348	177328.0	1664288.0		35517336	32714.0	14618.0			5167.0		2516927.0	14988.0			122082.0	812932	119802.0			689667		6419657	100343.0	5344364		96091.0			1280.0		522098	2903.0			569854.0	158659.0		35126.0	33361.0	54608	682132.0		21734.0			7528006.0	22743.0				313208.0	4138.0			6804.0						19440	6403.0			572766.0		161024.0		25214.0		16923.0			2430262.0			84701.0	45304.0		17851.0		1795833.0		5704.0			5872.0	15912.0		20879.0	1798.0	15206.0		10873.0	805725.0	807015.0	2068243	1040519.0			20351870.0							131782.0				12833.0	15995.0			26561.0		245471.0	87462			40524.0	20174764.0	72998344.0	5195.0				113424.0					114063.0	29163.0								58532.0							6363175		9279.0	63400.0	1916.0		47076.0	6080.0			41548	522.0	34363			25592.0					45321.0		31819.0			3079	45656.0							11751.0				80966.0		10748.0	54559.0	9628.0							43807.0	21498.0	19469.0			55876.0	70475.0				37759.0	33852.0	846677.0							1969382.0		283355.0			94690.0	20437.0	267109.0		9202.0	79009.0			3460.0			22885.0			89582.0					398915.0				38903.0					8676.0		411.0		8011	17444.0	475541.0					81553		546528	1101480	559372.0	446169.0	1583944	1438504.0	252948	2925959	1535148	342800	70209.0		39946.0	2502.0	41944.0	25823.0
s00026						11681.0		5686	2313986.0	1420376.0		45823564	28548.0	265163.0			17598.0		24844896.0	20513.0			165445.0	32624	127167.0			1178315		141543	106075.0	8977563		3357.0			2682.0		20680	13020.0			242157.0	5890.0		27324.0	33297.0	125323	861116.0		28403.0			9061966.0	21710.0				20561.0	4143.0			12664.0						197791	10850.0			368595.0		32266.0		6166.0		148194.0			5439190.0			59934.0	32615.0		44555.0		1725853.0		43901.0			9412.0	16405.0		21941.0	9961.0	19748.0		28993.0	742788.0	20719.0	2246816	1361.0			24268606.0							11871.0				34753.0	16785.0			24179.0		327919.0	67478			32615.0	22311220.0	81816568.0	5865.0				179632.0					175223.0	15711.0								96143.0							10503233		17371.0	0.0	1275.0		92267.0	3095.0			12448	233.0	47750			68485.0					109341.0		25260.0			3326	47459.0							11204.0				90000.0		12137.0	60887.0	4338.0							46189.0	13245.0	33839.0			20430.0	948.0				27010.0	36478.0	779587.0							0.0		737.0			1521.0	0.0	0.0		14115.0	0.0			936.0			24955.0			101504.0					460641.0				0.0					2553.0		655.0		42141	837.0	441486.0					84197		503426	1067775	798017.0	461109.0	1520195	1495954.0	275221	2915802	1632806	298742	72993.0		39543.0	249845.0	40644.0	25352.0
s00050						5873.0		69539	231129.0	1123236.0		36425328	346710.0	115146.0			18073.0		2694682.0	19239.0			567.0	528106	116202.0			447545		11352320	161686.0	8412740		51758.0			12400.0		245129	8923.0			86144.0	140550.0		21041.0	35517.0	485658	404032.0		18038.0			5624270.0	8292.0				73371.0	5714.0			8958.0						25188	11339.0			572945.0		59198.0		17559.0		144642.0			8774233.0			92640.0	34878.0		47165.0		1855129.0		4662.0			3733.0	13041.0		20222.0	4429.0	17687.0		19068.0	567584.0	904426.0	2048840	8722.0			22453118.0							152832.0				14689.0	16686.0			19704.0		167397.0	213070			32406.0	22219160.0	75611824.0	12837.0				111250.0					106560.0	25526.0								86900.0							8616340		17110.0	120.0	985.0		53910.0	6138.0			24839	19064.0	33321			42435.0					173235.0		25866.0			29837	37121.0							9727.0				99835.0		12467.0	30103.0	9906.0							38846.0	22883.0	26864.0			7372.0	1135.0				39126.0	33534.0	516783.0							4617.0		0.0			100651.0	0.0	1498.0		18739.0	78858.0			11869.0			22605.0			66749.0					341756.0				34623.0					3197.0		0.0		25035	5383.0	471966.0					42779		492405	999408	747414.0	454603.0	1535287	1401278.0	262999	2884881	1574926	282673	77913.0		38010.0	233672.0	40550.0	31767.0
