	m_c18n_0000	m_c18n_0001	m_c18n_0003	m_c18n_0006	m_c18n_0008	m_c18n_0009	m_c18n_0010	m_c18n_0011	m_c18n_0013	m_c18n_0016	m_c18n_0017	m_c18n_0018	m_c18n_0019	m_c18n_0020	m_c18n_0021	m_c18n_0022	m_c18n_0023	m_c18n_0024	m_c18n_0025	m_c18n_0026	m_c18n_0027	m_c18n_0028	m_c18n_0029	m_c18n_0030	m_c18n_0031	m_c18n_0035	m_c18n_0037	m_c18n_0039	m_c18n_0041	m_c18n_0042	m_c18n_0043	m_c18n_0048	m_c18n_0049	m_c18n_0050	m_c18n_0051	m_c18n_0052	m_c18n_0053	m_c18n_0054	m_c18n_0055	m_c18n_0056	m_c18n_0058	m_c18n_0059	m_c18n_0060	m_c18n_0061	m_c18n_0062	m_c18n_0063	m_c18n_0064	m_c18n_0065	m_c18n_0066	m_c18n_0067	m_c18n_0068	m_c18n_0071	m_c18n_0072	m_c18n_0073	m_c18n_0074	m_c18n_0077	m_c18n_0080	m_c18n_0082	m_c18n_0084	m_c18n_0086	m_c18n_0087	m_c18n_0088	m_c18n_0093	m_c18n_0094	m_c18n_0097	m_c18n_0098	m_c18n_0099	m_c18n_0100	m_c18n_0101	m_c18n_0103	m_c18n_0104	m_c18n_0105	m_c18n_0107	m_c18n_0108	m_c18n_0109	m_c18n_0110	m_c18n_0112	m_c18n_0113	m_c18n_0114	m_c18n_0116	m_c18n_0117	m_c18n_0122	m_c18n_0127	m_c18n_0128	m_c18n_0129	m_c18n_0130	m_c18n_0132	m_c18n_0133	m_c18n_0135	m_c18n_0136	m_c18n_0139	m_c18n_0140	m_c18n_0141	m_c18n_0145	m_c18n_0148	m_c18n_0150	m_c18n_0152	m_c18n_0158	m_c18n_0159	m_c18n_0160	m_c18n_0161	m_c18n_0162	m_c18n_0164	m_c18n_0166	m_c18n_0167	m_c18n_0168	m_c18n_0171	m_c18n_0172	m_c18n_0175	m_c18n_0176	m_c18n_0177	m_c18n_0179	m_c18n_0181	m_c18n_0182	m_c18n_0189	m_c18n_0196	m_c18n_0198	m_c18n_0200	m_c18n_0205	m_c18n_0206	m_c18n_0213	m_c18n_0214	m_c18n_0215	m_c18n_0218	m_c18n_0219	m_c18n_0221	m_c18n_0224	m_c18n_0226	m_c18n_0231	m_c18n_0233	m_c18n_0234	m_c18n_0237	m_c18n_0238	m_c18n_0242	m_c18n_0248	m_c18n_0250	m_c18n_0251	m_c18n_0256	m_c18n_0258	m_c18n_0259	m_c18n_0262	m_c18n_0263	m_c18n_0265	m_c18n_0266	m_c18n_0267	m_c18n_0271	m_c18n_0273	m_c18n_0275	m_c18n_0278	m_c18n_0280	m_c18n_0282	m_c18n_0283	m_c18n_0284	m_c18n_0285	m_c18n_0286	m_c18n_0288	m_c18n_0291	m_c18n_0292	m_c18n_0294	m_c18n_0297	m_c18n_0298	m_c18n_0302	m_c18n_0303	m_c18n_0307	m_c18n_0309	m_c18n_0312	m_c18n_0313	m_c18n_0316	m_c18n_0317	m_c18n_0321	m_c18n_0323	m_c18n_0325	m_c18n_0328	m_c18n_0329	m_c18n_0330	m_c18n_0335	m_c18n_0337	m_c18n_0338	m_c18n_0340	m_c18n_0345	m_c18n_0347	m_c18n_0348	m_c18n_0351	m_c18n_0356	m_c18n_0357	m_c18n_0358	m_c18n_0360	m_c18n_0361	m_c18n_0362	m_c18n_0365	m_c18n_0366	m_c18n_0367	m_c18n_0373	m_c18n_0381	m_c18n_0382	m_c18n_0383	m_c18n_0385	m_c18n_0388	m_c18n_0390	m_c18n_0392	m_c18n_0398	m_c18n_0399	m_c18n_0400	m_c18n_0401	m_c18n_0402	m_c18n_0404	m_c18n_0413	m_c18n_0414	m_c18n_0415	m_c18n_0416	m_c18n_0418	m_c18n_0419	m_c18n_0420	m_c18n_0421	m_c18n_0422	m_c18n_0425	m_c18n_0428	m_c18n_0433	m_c18n_0435	m_c18n_0436	m_c18n_0438	m_c18n_0439	m_c18n_0440	m_c18n_0445	m_c18n_0449	m_c18n_0451	m_c18n_0452	m_c18n_0453	m_c18n_0455	m_c18n_0458	m_c18n_0466	m_c18n_0467	m_c18n_0469	m_c18n_0475	m_c18n_0476	m_c18n_0477	m_c18n_0479	m_c18n_0480	m_c18n_0482	m_c18n_0485	m_c18n_0486	m_c18n_0492	m_c18n_0493	m_c18n_0501	m_c18n_0502	m_c18n_0506	m_c18n_0517	m_c18n_0519	m_c18n_0521	m_c18n_0523	m_c18n_0524	m_c18n_0527	m_c18n_0528	m_c18n_0530	m_c18n_0543	m_c18n_0547	m_c18n_0551	m_c18n_0553	m_c18n_0556	m_c18n_0557	m_c18n_0558	m_c18n_0559	m_c18n_0560	m_c18n_0561	m_c18n_0562	m_c18n_0563	m_c18n_0564	m_c18n_0565	m_c18n_0566
s00190	16418.0	28291.0		1700954.0	25765.0	315041.0		37350.0		26910.0			1244426.0	6255.0	19126.0	1784658.0	972569.0	28885022.0	547995.0	1298441.0	205799.0			12067.0	119791.0	683984.0			164003.0	1305579.0			36253.0	1141759.0	17357.0		18057.0		13245.0		19569.0			246801.0	44667.0	636120.0	248024.0	105566.0		5861.0		48793.0	218609.0		14513.0	9524.0	224639.0	14285.0	167260.0	44167.0	15891.0			45012.0		35892.0		55956.0								216781.0	326403.0		1740.0		20304.0	26281.0			27640.0				52422.0		24331.0		160439.0			40392.0		15481.0		75854.0							5445.0	109188.0							69617.0				135784.0							5350.0	738439.0	42394.0				1698268.0	6952713							14453.0		53064.0	9864.0		25874.0	183123.0			96814.0	40140.0		13340.0	10907.0			46504.0			23951.0	0.0		6183.0					5053.0	28884.0		69605.0	858.0	4165.0	195894.0			12022.0			176896.0					6303.0	2904581		506.0		39898.0	306644.0	1382.0			383126.0				17527.0	37434.0			200861.0		27089.0			8143292.0	77000.0				4376.0	6833.0			100282.0	95947.0	4173.0	46855.0	82460.0		101314.0		19878.0		334.0		8214.0	20616.0	215290.0		6450.0	300641.0	6608.0	3311.0								359.0			8619.0					8220.0							4355.0	152741.0	221703.0	995610	721738	376744	167282	2097158	2672975	8968741	7732327	101732.0
s00143	26179.0	11929.0		1786245.0	1076.0	396718.0		28592.0		50755.0			1751274.0	7163.0	20674.0	1413454.0	42609.0	23231672.0	686093.0	800871.0	34686.0			11832.0	11862.0	1214611.0			183199.0	168016.0			30158.0	1198378.0	1629.0		14154.0		14020.0		13233.0			233419.0	38389.0	462765.0	83899.0	179583.0		4652.0		40975.0	206855.0		76522.0	14233.0	299209.0	9666.0	284273.0	21754.0	13918.0			26729.0		29587.0		42692.0								331211.0	212963.0		35221.0		2150.0	31529.0			14760.0				35240.0		18254.0		4497.0			33544.0		13264.0		22817.0							95736.0	210330.0							32550.0				185860.0							11324.0	443016.0	18319.0				1633129.0	5386514							9242.0		57657.0	0.0		28432.0	147106.0			75466.0	48929.0		9199.0	6154.0			66662.0			27763.0	14419.0		8197.0					22812.0	28865.0		91044.0	589.0	731.0	116160.0			14710.0			110278.0					5151.0	2576880		0.0		6766.0	231024.0	800.0			255259.0				26591.0	35435.0			261087.0		59687.0			7684269.0	63947.0				3924.0	5094.0			140426.0	77274.0	3336.0	67567.0	152901.0		152905.0		30175.0		277.0		9491.0	19231.0	12061.0		4479.0	281364.0	1560.0	2354.0								248.0			4983.0					10042.0							7070.0	148840.0	223576.0	943723	709204	367020	151090	2066358	2614514	9441011	7374984	108255.0
s00138	10784.0	16090.0		1198792.0	24113.0	404984.0		33556.0		39076.0			830759.0	6543.0	23977.0	1694802.0	471459.0	27142648.0	714375.0	1224785.0	225221.0			12690.0	11435.0	765608.0			183074.0	1105691.0			32379.0	1256962.0	20333.0		15891.0		13338.0		12515.0			201438.0	43258.0	549376.0	97260.0	113265.0		4986.0		41874.0	176070.0		59166.0	13719.0	155103.0	12727.0	157514.0	21604.0	11696.0			24798.0		32096.0		48819.0								174878.0	308939.0		2634.0		1744.0	28077.0			18911.0				37637.0		8876.0		148182.0			37716.0		15079.0		56958.0							123120.0	117873.0							25146.0				98852.0							8457.0	711044.0	39517.0				1545751.0	6448692							12211.0		41244.0	2412.0		30149.0	165096.0			89853.0	44758.0		10124.0	14743.0			48249.0			31563.0	11702.0		8109.0					13886.0	23672.0		92325.0	2492.0	790.0	186548.0			21663.0			162189.0					4891.0	2795470		302.0		40718.0	267406.0	2079.0			190976.0				17630.0	35210.0			268684.0		53279.0			7811276.0	58167.0				2722.0	6250.0			153702.0	76563.0	4058.0	40980.0	200209.0		159516.0		17835.0		1040.0		11017.0	18139.0	144657.0		5337.0	303363.0	4282.0	1806.0								338.0			7052.0					9356.0							4663.0	144266.0	218545.0	911470	654532	366537	154812	2006005	2654494	8449958	7285630	93321.0
s00149	106.0	26816.0		10331.0	26001.0	500090.0		94152.0		51928.0			73000.0	6112.0	14553.0	1701859.0	806499.0	28168220.0	3713682.0	5620633.0	423751.0			11353.0	8193.0	999.0			225296.0	1556030.0			107183.0	767360.0	24010.0		135526.0		40350.0		13689.0			914323.0	37210.0	530922.0	548936.0	29836.0		907.0		45666.0	727109.0		26389.0	13522.0	3283.0	11218.0	6515.0	12845.0	13695.0			54539.0		32933.0		51110.0								16384.0	323970.0		4330.0		7412.0	26949.0			29985.0				41546.0		75070.0		159762.0			43538.0		12806.0		65992.0							3071.0	7079.0							56734.0				711.0							5425.0	748927.0	36577.0				1635029.0	6367582							10491.0		7533.0	44198.0		26709.0	233023.0			124513.0	8500.0		7688.0	10646.0			52216.0			33629.0	403.0		6852.0					1567.0	27787.0		25543.0	3655.0	184.0	333308.0			17831.0			139301.0					4296.0	2851199		554.0		115772.0	295070.0	2223.0			183641.0				7.0	33026.0			225776.0		203.0			7746244.0	53713.0				2588.0	8470.0			0.0	200.0	55216.0	6475.0	87812.0		0.0		20943.0		0.0		8019.0	18800.0	1406.0		3570.0	312373.0	5533.0	985.0								333.0			7558.0					5882.0							3989.0	162373.0	233247.0	1043757	740678	459855	171921	2100522	2586876	9369841	7252572	104013.0
s00124	0.0	0.0		0.0	251.0	785.0		1310.0		0.0			3560.0	0.0	0.0	10327.0	0.0	5193.0	207.0	37850.0	2496.0			0.0	9367.0	135.0			787.0	252.0			221.0	414.0	0.0		868.0		1711.0		0.0			106.0	1140.0	102.0	379.0	104.0		0.0		0.0	413.0		131.0	0.0	263.0	0.0	112.0	109.0	0.0			733.0		0.0		1451.0								188.0	6763.0		0.0		0.0	117.0			454.0				0.0		630.0		756.0			410.0		0.0		131.0							0.0	0.0							0.0				334.0							0.0	4659.0	0.0				1986.0	2961							0.0		116.0	103.0		13673.0	0.0			0.0	0.0		0.0	0.0			0.0			0.0	0.0		0.0					799.0	0.0		210.0	113.0	0.0	0.0			0.0			0.0					0.0	0		0.0		0.0	120.0	112.0			0.0				0.0	0.0			304947.0		0.0			2869700.0	0.0				0.0	0.0			0.0	0.0	0.0	0.0	94557.0		0.0		0.0		0.0		17525.0	0.0	0.0		0.0	0.0	0.0	0.0								0.0			0.0					0.0							0.0	242.0	0.0	1407	0	0	0	0	1074	32040	6426	313.0
s00150	11707.0	19914.0		1090824.0	23218.0	433058.0		66893.0		43232.0			798202.0	6114.0	20253.0	1674611.0	492444.0	28748590.0	2539451.0	3668916.0	276316.0			12949.0	11470.0	365128.0			169879.0	997328.0			55933.0	940712.0	18692.0		60227.0		14332.0		15120.0			664127.0	48363.0	530776.0	367723.0	102954.0		3176.0		44208.0	528693.0		49334.0	13319.0	159027.0	9415.0	131396.0	17334.0	14654.0			46692.0		32807.0		54943.0								155542.0	259609.0		11614.0		9905.0	26751.0			26283.0				37444.0		62332.0		101966.0			37254.0		17436.0		53956.0							35119.0	111611.0							45070.0				101885.0							8607.0	612719.0	33069.0				1842382.0	6602423							10201.0		30247.0	22781.0		31069.0	212789.0			97969.0	23075.0		9796.0	6133.0			60164.0			32330.0	4912.0		7629.0					16223.0	27461.0		59617.0	998.0	802.0	250073.0			19379.0			144569.0					5184.0	2921752		272.0		44605.0	284999.0	2004.0			178746.0				18153.0	41883.0			233331.0		27021.0			7717472.0	65245.0				3395.0	8116.0			70325.0	56410.0	19078.0	38482.0	103193.0		58494.0		25548.0		128.0		11888.0	19814.0	137540.0		7398.0	312765.0	3300.0	1630.0								632.0			7347.0					7209.0							4051.0	150488.0	217059.0	960332	731612	365445	146661	2059384	2629486	9287595	7288939	107486.0
s00192	0.0	0.0		0.0	788.0	10769.0		2754.0		114.0			1672.0	246.0	0.0	51995.0	109.0	64426.0	125.0	29209.0	1482.0			0.0	36357.0	0.0			111.0	37.0			370.0	141.0	0.0		0.0		1496.0		0.0			137.0	912.0	0.0	2773.0	0.0		0.0		117.0	1784.0		106.0	717.0	13507.0	0.0	999.0	0.0	116.0			813.0		0.0		477.0								3566.0	7918.0		0.0		944.0	0.0			1331.0				206.0		0.0		1896.0			1794.0		0.0		0.0							0.0	141.0							0.0				3569.0							0.0	3209.0	144.0				17890.0	15546							0.0		0.0	0.0		11327.0	0.0			126.0	0.0		0.0	0.0			0.0			259.0	0.0		0.0					135.0	0.0		0.0	0.0	0.0	0.0			113.0			0.0					0.0	522		0.0		0.0	0.0	0.0			0.0				0.0	0.0			145964.0		0.0			3378326.0	0.0				0.0	0.0			0.0	0.0	141.0	0.0	41118.0		0.0		0.0		0.0		5818.0	128.0	0.0		0.0	0.0	0.0	0.0								0.0			0.0					0.0							0.0	125.0	0.0	3196	0	0	0	1555	4816	55616	36194	579.0
s00201	20216.0	20677.0		1797075.0	24855.0	863465.0		353191.0		43359.0			1976814.0	23855.0	21682.0	2207354.0	1039122.0	29539114.0	683356.0	1668781.0	1175932.0			13726.0	73526.0	1108018.0			224338.0	807184.0			43241.0	1106393.0	13297.0		20214.0		39975.0		13012.0			203122.0	31258.0	696532.0	3872632.0	47760.0		8372.0		54519.0	253453.0		76470.0	17936.0	165678.0	11440.0	11740.0	41358.0	16568.0			20420.0		40479.0		44565.0								59039.0	308620.0		1117.0		7935.0	26924.0			25268.0				51470.0		11984.0		2819.0			44418.0		14279.0		47754.0							9045.0	7744.0							14484.0				259093.0							10003.0	718818.0	10413.0				651349.0	6910628							10157.0		69408.0	6683.0		24446.0	179155.0			115346.0	48882.0		8823.0	9673.0			133559.0			40430.0	706.0		6380.0					12331.0	14431.0		83380.0	3268.0	642.0	279229.0			18242.0			160667.0					6559.0	2595640		5041.0		63082.0	383084.0	2654.0			374787.0				16432.0	44546.0			173121.0		385.0			7001949.0	75062.0				2289.0	7096.0			0.0	2908.0	4896.0	5838.0	653067.0		111.0		22728.0		0.0		8813.0	22697.0	207016.0		3302.0	315116.0	488.0	1205.0								2840.0			7536.0					7404.0							7061.0	166625.0	245120.0	1108811	757166	444866	114021	2202653	2695486	8646865	7208814	113971.0
s00157	22506.0	20974.0		2186090.0	18021.0	96456.0		497345.0		56558.0			1888847.0	38255.0	15554.0	2287266.0	636084.0	27858052.0	722173.0	1398159.0	984362.0			14445.0	488593.0	1065908.0			290238.0	856845.0			28263.0	1214926.0	12961.0		15577.0		43759.0		13409.0			192533.0	39691.0	634173.0	10327160.0	19396.0		6291.0		42819.0	99569.0		81602.0	11916.0	182782.0	19011.0	8780.0	70100.0	12708.0			14438.0		40275.0		66652.0								19501.0	294971.0		3468.0		16476.0	30383.0			27210.0				72664.0		24149.0		1524.0			32592.0		14383.0		67048.0							8455.0	5680.0							149879.0				255011.0							8454.0	700676.0	19501.0				681098.0	7215652							13935.0		48526.0	5427.0		48576.0	205470.0			103591.0	42798.0		9248.0	12873.0			62975.0			32519.0	0.0		6794.0					4138.0	16311.0		78243.0	551.0	219.0	468532.0			18311.0			173340.0					6994.0	2312520		4688.0		99541.0	537788.0	3030.0			400047.0				14841.0	31653.0			298464.0		0.0			8652103.0	67659.0				2315.0	6267.0			104.0	1008.0	3599.0	6834.0	472148.0		112.0		23691.0		0.0		7863.0	18946.0	177171.0		3261.0	299455.0	2299.0	416.0								55852.0			6860.0					7698.0							8270.0	163789.0	219333.0	1061877	734285	439608	131475	2050508	2655880	9027267	7401313	112831.0
s00132	23064.0	11933.0		1810123.0	894.0	328537.0		28827.0		31336.0			1723520.0	6387.0	23832.0	1364990.0	43343.0	21852166.0	718802.0	807340.0	35142.0			15646.0	10882.0	1648248.0			154710.0	166268.0			204243.0	1024896.0	1073.0		9861.0		13321.0		12503.0			186509.0	38017.0	486254.0	87834.0	180294.0		5396.0		35895.0	215161.0		73503.0	11553.0	341820.0	10579.0	279749.0	25462.0	12903.0			20267.0		27916.0		39358.0								327721.0	214068.0		29792.0		4037.0	31665.0			15603.0				32441.0		23086.0		1988.0			27218.0		11715.0		19942.0							136828.0	214328.0							26596.0				186528.0							12443.0	459146.0	37767.0				1324672.0	5391690							10245.0		40788.0	705.0		26541.0	138037.0			75542.0	37498.0		9595.0	5907.0			63652.0			26276.0	20303.0		6632.0					13660.0	30489.0		102483.0	1229.0	1098.0	119767.0			16356.0			142169.0					4618.0	2473497		108.0		6180.0	216588.0	1726.0			155590.0				25435.0	33524.0			305604.0		48728.0			6610624.0	60745.0				0.0	7474.0			136151.0	71491.0	2848.0	66814.0	132936.0		108067.0		33284.0		0.0		10822.0	17952.0	11068.0		4971.0	274099.0	341.0	1329.0								2223.0			5965.0					10869.0							8554.0	149530.0	238675.0	983972	662067	367068	149334	2040374	2674311	8364090	7234265	93352.0
s00170	357.0	11515.0		11587.0	16154.0	684360.0		47833.0		0.0			2980361.0	18076.0	7851.0	1455778.0	727181.0	24205736.0	949203.0	1353396.0	72650.0			15098.0	15949.0	869856.0			1435958.0	1060701.0			76774.0	576061.0	13468.0		8307.0		15186.0		20801.0			251240.0	31162.0	594869.0	68038.0	114191.0		3415.0		49181.0	252833.0		177343.0	14614.0	3493.0	6071.0	245132.0	52012.0	16378.0			171637.0		39283.0		46271.0								280743.0	299644.0		6999.0		4612.0	28562.0			37994.0				80039.0		63742.0		191100.0			36270.0		13935.0		46507.0							2039.0	189290.0							46346.0				203522.0							9087.0	748446.0	35174.0				1307945.0	5994271							12225.0		30395.0	4853.0		28589.0	166422.0			72174.0	41836.0		13099.0	3800.0			67362.0			31461.0	0.0		5922.0					10306.0	31266.0		38686.0	28463.0	689.0	184588.0			19089.0			143581.0					14343.0	2623200		392.0		227592.0	240006.0	2913.0			1306.0				24830.0	38604.0			204334.0		181.0			9118868.0	7801.0				130.0	0.0			0.0	0.0	3269.0	116521.0	607167.0		4314.0		16839.0		650.0		7648.0	15922.0	345934.0		6481.0	239404.0	3021.0	836.0								0.0			5277.0					2739.0							5421.0	174886.0	232790.0	1098715	796645	373768	88329	2192972	2759872	10803964	7923436	100416.0
s00172	14.0	12547.0		28820.0	5656.0	1434906.0		59547.0		36934.0			3261218.0	101029.0	36678.0	1764204.0	624097.0	27991336.0	2464124.0	1141182.0	81130.0			13366.0	17844.0	1591127.0			1228645.0	259891.0			464834.0	1115728.0	1014.0		7024.0		78215.0		16048.0			1151066.0	29943.0	654486.0	97215.0	131858.0		7657.0		47112.0	394292.0		20359.0	14263.0	4947.0	6602.0	276512.0	62135.0	14838.0			145352.0		35064.0		149225.0								348152.0	213699.0		12557.0		7640.0	28694.0			31882.0				25644.0		47736.0		679233.0			46954.0		15055.0		33836.0							4574.0	208384.0							47173.0				220287.0							11667.0	641637.0	55370.0				1460232.0	7346060							13101.0		82642.0	4589.0		229859.0	169575.0			70238.0	37372.0		56555.0	5806.0			78471.0			35461.0	314.0		8497.0					15310.0	30974.0		62288.0	183318.0	1400.0	328741.0			19290.0			133760.0					17724.0	3193369		918.0		171439.0	276422.0	16990.0			2463.0				23962.0	36972.0			206323.0		5199.0			8255858.0	7658.0				332.0	0.0			10100.0	11107.0	40068.0	138500.0	360941.0		62783.0		17209.0		1833.0		10462.0	15385.0	30633.0		8453.0	123387.0	2053.0	1496.0								1671.0			6802.0					8352.0							7583.0	157892.0	250597.0	1084298	732135	360507	142085	2222648	2692760	9500208	7378024	119201.0
s00145	68.0	26680.0		7864.0	30003.0	386411.0		106902.0		32877.0			55044.0	5144.0	27322.0	1671044.0	770528.0	29365832.0	5102374.0	6544840.0	444286.0			10652.0	9127.0	342.0			280804.0	1712542.0			91723.0	923152.0	25141.0		105225.0		15638.0		11267.0			1266922.0	38823.0	524781.0	626375.0	28852.0		1314.0		37632.0	734121.0		33985.0	13459.0	2178.0	13744.0	6841.0	13426.0	11697.0			51382.0		35954.0		45211.0								18859.0	304602.0		4960.0		7248.0	27666.0			29423.0				42896.0		112333.0		128120.0			41488.0		13928.0		65372.0							4285.0	5485.0							58708.0				1512.0							7155.0	658229.0	33226.0				1622367.0	6698404							9653.0		10662.0	49623.0		26846.0	266980.0			125184.0	12987.0		14053.0	10314.0			50062.0			34446.0	653.0		6888.0					2550.0	26422.0		29603.0	363.0	154.0	352269.0			18299.0			131676.0					5041.0	2924091		751.0		111763.0	303218.0	1585.0			192821.0				264.0	33295.0			254154.0		184.0			7955530.0	62288.0				0.0	8822.0			118.0	0.0	123607.0	6093.0	102178.0		0.0		14944.0		0.0		8986.0	19300.0	1148.0		5106.0	306040.0	5733.0	1427.0								414.0			7100.0					9197.0							4661.0	162463.0	243334.0	1050714	765553	470622	154734	2127051	2674658	9409775	7268330	109380.0
s00168	734.0	15715.0		15946.0	16946.0	582892.0		53925.0		0.0			3342419.0	46665.0	23237.0	1848474.0	809559.0	24534500.0	1527390.0	1433804.0	84076.0			17948.0	13277.0	1413377.0			2430081.0	1157782.0			161423.0	1277811.0	13332.0		6284.0		15978.0		18751.0			672775.0	46392.0	726210.0	118493.0	96184.0		9599.0		56747.0	339980.0		202088.0	16317.0	4745.0	7314.0	254008.0	43599.0	12540.0			198966.0		37901.0		70852.0								323497.0	268432.0		1749.0		14639.0	24235.0			46312.0				64586.0		46526.0		207123.0			47687.0		22145.0		72843.0							5061.0	235534.0							49288.0				259366.0							16707.0	1011837.0	43633.0				743186.0	10049860							15091.0		59457.0	10816.0		36231.0	201262.0			73279.0	58083.0		13951.0	3813.0			70195.0			35637.0	0.0		9548.0					18151.0	41501.0		52065.0	58031.0	1413.0	230229.0			24120.0			119089.0					22216.0	3525225		1053.0		304174.0	322050.0	6437.0			3762.0				33152.0	38454.0			212512.0		227.0			8355180.0	8842.0				228.0	62.0			360.0	0.0	24183.0	131451.0	827062.0		4160.0		17228.0		1672.0		9384.0	21463.0	492020.0		8876.0	278842.0	4703.0	2172.0								83.0			10799.0					9931.0							4042.0	151316.0	227949.0	984473	947185	394747	37419	2571248	3341410	13235334	8547063	121517.0
s00183	1296.0	31099.0		13210.0	30752.0	709016.0		63270.0		54466.0			390634.0	17292.0	20077.0	2097888.0	971838.0	29074684.0	725011.0	1432012.0	486595.0			14715.0	17720.0	3064.0			93494.0	1265636.0			17842.0	959007.0	14292.0		6600.0		16656.0		12546.0			185980.0	45300.0	694082.0	528398.0	40819.0		492.0		45489.0	20368.0		16030.0	13564.0	4137.0	20608.0	14270.0	19547.0	15937.0			59492.0		17893.0		54119.0								23200.0	382689.0		1182.0		11895.0	29702.0			32695.0				41876.0		23732.0		1796.0			39380.0		13254.0		110064.0							7371.0	7935.0							74681.0				1231.0							5420.0	762412.0	32270.0				1624071.0	6593090							11693.0		17237.0	7974.0		25326.0	218189.0			116835.0	12940.0		7990.0	15461.0			56870.0			16016.0	0.0		7149.0					918.0	24953.0		46277.0	3052.0	10140.0	292030.0			22913.0			192539.0					5417.0	2896837		0.0		73877.0	320427.0	2402.0			204093.0				944.0	32897.0			206333.0		117.0			8775387.0	64345.0				5654.0	7362.0			164.0	538.0	6556.0	2877.0	65969.0		174.0		25610.0		0.0		9012.0	17993.0	57675.0		5823.0	311094.0	8647.0	2380.0								1424.0			8326.0					8288.0							4834.0	160992.0	232760.0	1079963	766281	440928	146873	2224064	2715149	9529335	7617732	111991.0
s00200	15529.0	20534.0		1428423.0	17966.0	812036.0		400492.0		0.0			1963662.0	16990.0	22359.0	2245976.0	1031688.0	29431726.0	853202.0	1579574.0	1450683.0			14643.0	92968.0	954026.0			191548.0	879859.0			185844.0	1262611.0	13819.0		36653.0		48094.0		15304.0			225588.0	31032.0	687285.0	4722108.0	33105.0		8060.0		54509.0	191604.0		74859.0	19516.0	129627.0	14284.0	10604.0	42544.0	15119.0			18329.0		41001.0		44178.0								45313.0	292479.0		560.0		9085.0	29524.0			21465.0				58485.0		9930.0		3099.0			46040.0		16189.0		44290.0							10711.0	8150.0							16101.0				265041.0							9063.0	676688.0	56709.0				1440220.0	6719773							11628.0		79008.0	4377.0		23036.0	177405.0			111511.0	59568.0		11576.0	11374.0			140802.0			35042.0	0.0		6474.0					11134.0	17152.0		110254.0	3149.0	0.0	317996.0			15214.0			158340.0					6213.0	2494934		8063.0		50933.0	388408.0	1619.0			376091.0				12472.0	44195.0			197380.0		0.0			7522350.0	76623.0				2072.0	9169.0			0.0	2054.0	5360.0	6645.0	763098.0		0.0		27402.0		398.0		8630.0	23130.0	183676.0		4566.0	309604.0	236.0	1157.0								4978.0			8293.0					8631.0							6383.0	169771.0	219261.0	1120959	719246	445766	129376	2209093	2708228	8379944	7208876	121835.0
s00173	461.0	15081.0		24690.0	19500.0	1783473.0		59800.0		45284.0			3399569.0	101259.0	34459.0	1856766.0	596226.0	29562770.0	2335128.0	1231468.0	86617.0			15722.0	17800.0	1073595.0			1352159.0	279224.0			231011.0	961920.0	1141.0		8059.0		91684.0		14301.0			1306101.0	29941.0	711989.0	103624.0	129830.0		7045.0		54245.0	396779.0		95731.0	12333.0	5505.0	5743.0	266154.0	55320.0	12222.0			149684.0		37052.0		182838.0								363684.0	234758.0		10054.0		6126.0	28276.0			30538.0				71423.0		97342.0		809193.0			48117.0		15439.0		36484.0							5436.0	222598.0							55514.0				262227.0							13263.0	732787.0	13276.0				718521.0	7766293							13846.0		78268.0	3984.0		234671.0	176832.0			63289.0	22258.0		59192.0	4958.0			78825.0			37485.0	0.0		7797.0					17236.0	33607.0		51672.0	194536.0	415.0	337608.0			15042.0			128106.0					18075.0	3457024		1898.0		173720.0	306142.0	23802.0			1907.0				29077.0	41497.0			195449.0		9138.0			7020961.0	8186.0				342.0	81.0			7901.0	12999.0	52750.0	145794.0	370911.0		60631.0		17675.0		2035.0		10317.0	16087.0	39389.0		8392.0	116483.0	297.0	1677.0								62.0			6476.0					6927.0							7071.0	161657.0	277506.0	1140231	781650	397853	167099	2359114	2972547	10107646	7927704	123474.0
s00194	28460.0	16857.0		2496436.0	15637.0	840015.0		101849.0		25255.0			2276240.0	11323.0	49203.0	1966342.0	1161251.0	29556652.0	712311.0	980289.0	48241.0			8067.0	13608.0	1730198.0			203129.0	641303.0			22883.0	1175459.0	12331.0		6698.0		55209.0		10647.0			183862.0	28878.0	302772.0	1183807.0	80556.0		8777.0		45939.0	108207.0		129251.0	14484.0	446198.0	12697.0	186130.0	8797.0	15755.0			2307.0		42838.0		150231.0								402343.0	235039.0		18124.0		6167.0	27873.0			21723.0				65494.0		15971.0		129659.0			36163.0		13371.0		35846.0							56826.0	23204.0							7027.0				256980.0							8765.0	612454.0	68409.0				1397179.0	7047118							10584.0		69537.0	3962.0		61459.0	186499.0			104740.0	55566.0		32683.0	97014.0			78749.0			1734.0	1715.0		7126.0					60370.0	19521.0		70190.0	596.0	6.0	149459.0			14904.0			150350.0					8201.0	3182026		302.0		20265.0	282329.0	473.0			103955.0				17368.0	37019.0			173572.0		0.0			8248850.0	22089.0				1471.0	6091.0			0.0	148.0	4837.0	9586.0	137769.0		118.0		21175.0		0.0		8364.0	19360.0	190287.0		222.0	317857.0	2513.0	7947.0								880.0			11221.0					11712.0							5829.0	163774.0	243164.0	1076039	702705	462479	144723	2176060	2685500	8583423	7533566	100147.0
